x	y	t	id	label	task_id
372	98	0	0	Z	0
351	147	200	7	M	0
336	171	400	7	M	0
382	161	600	7	M	0
395	186	800	7	M	1
391	379	1000	7	M	0
354	370	1200	7	M	0
264	73	1400	4	T	0
313	63	1600	4	T	0
452	60	1800	4	T	0
392	201	2000	7	M	0
201	149	2200	7	M	2
116	150	2400	7	M	2
138	165	2600	7	M	0
579	158	2800	7	M	0
148	143	3000	7	M	0
119	158	3200	7	M	2
118	143	3400	7	M	3
65	505	3600	6	A	2
210	542	3800	0	Z	0
97	468	4000	7	M	0
133	105	4200	7	M	0
142	151	4400	7	M	0
112	149	4600	7	M	2
75	166	4800	7	M	0
65	485	5000	6	A	2
72	519	5200	6	A	0
83	178	5400	7	M	0
94	154	5600	7	M	2
98	153	5800	7	M	2
129	109	6000	7	M	0
116	145	6200	7	M	3
89	146	6400	7	M	0
93	523	6600	6	A	0
75	504	6800	6	A	2
94	142	7000	7	M	0
105	126	7200	7	M	0
112	93	7400	4	T	0
109	153	7600	7	M	2
126	146	7800	7	M	0
133	128	8000	7	M	0
109	470	8200	7	M	0
205	498	8400	6	A	2
152	139	8600	7	M	0
127	148	8800	7	M	2
129	147	9000	7	M	2
141	36	9200	4	T	1
134	17	9400	4	T	0
66	506	9600	6	A	2
166	66	9800	4	T	0
102	24	10000	4	T	1
928	140	10200	7	M	0
