RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
8	1	403	426
241	2	263	428
408	3	162	460
608	4	245	149
774	5	382	143
1041	6	376	184
1157	7	383	164
1241	8	401	133
1491	9	505	123
1791	10	571	135
2024	11	755	114
2224	12	778	123
2324	13	789	109
2641	14	795	111
2808	15	770	149
3424	16	689	136
3791	17	684	146
4124	18	90	262
4308	19	169	324
4557	20	144	842
4924	21	161	745
5091	22	147	948
5341	23	147	896
5524	24	149	751
5774	25	171	575
6058	26	159	523
6274	27	168	323
6508	28	173	218
6857	29	163	382
7007	30	172	347
7307	31	159	456
7507	32	164	577
7674	33	162	477
7891	34	169	597
8208	35	154	701
8341	36	168	628
8607	37	163	665
8907	38	139	882
9508	39	138	810
9824	40	157	690
10274	41	160	859
10641	42	146	335
10907	43	149	205
11357	44	162	297
11641	45	154	396
11974	46	149	486
12174	47	170	430
12657	48	179	418
12907	49	167	433
13307	50	115	431
13474	51	604	380
13757	52	798	388
13874	53	806	119
14074	54	763	126
14357	55	752	365
14641	56	163	441
14974	57	382	412
15224	58	660	393
15390	59	791	394
15524	60	759	393
16074	61	647	392
16257	62	689	395
16457	63	727	159
16591	64	738	148
16790	65	365	34
Duration	17256
