RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
13	1	501	164
463	2	124	377
615	3	140	407
1065	4	354	459
1248	5	713	150
1415	6	635	113
1615	7	203	91
1848	8	136	75
1981	9	176	123
2231	10	278	119
2581	11	245	133
3031	12	273	63
3515	13	351	56
3881	14	246	68
5065	15	46	417
5281	16	116	446
6015	17	224	411
6431	18	231	440
6664	19	326	405
6865	20	380	374
7398	21	421	376
7531	22	558	333
7631	23	448	382
7831	24	502	375
8348	25	406	469
8565	26	469	465
8765	27	549	333
8981	28	530	354
9215	29	531	349
9898	30	643	345
10564	31	658	376
10748	32	764	351
10948	33	687	377
11264	34	674	615
11664	35	718	127
12015	36	540	130
12248	37	953	108
12548	38		
12748	39	746	77
13165	40	724	89
13366	41	720	73
13616	42	752	77
13749	43	732	71
14366	44	732	78
14449	45	710	66
14532	46	739	73
14765	47	727	62
15099	48	738	77
15499	49	494	239
15666	50	419	326
15799	51	442	347
16083	52	454	353
16288	53	759	144
16533	54	740	138
18439	55	175	376
18622	56	134	417
18856	57	94	418
19222	58	92	304
19456	59	871	108
19789	60	129	328
19923	61	123	426
20222	62	143	397
21772	63	144	476
22106	64	170	401
22289	65	284	403
22522	66	131	473
23272	67	190	441
23506	68	244	371
23822	69	348	372
24106	70	918	93
24956	71	401	393
25473	72	440	476
25573	73	425	472
25706	74	375	481
26023	75	412	478
26123	76	435	508
26406	77	399	507
26640	78	502	379
26840	79	500	383
27090	80	503	359
27806	81	499	386
27956	82	568	378
28306	83	581	343
28673	84	584	325
28923	85	695	381
29406	86	800	380
29506	87	782	377
29673	88	784	332
29939	89	805	339
30139	90	813	333
30439	91	785	370
30873	92	860	379
31073	93	883	388
31256	94	893	443
31573	96	111	636
31822	97	626	630
32022	98		
32306	99	184	324
33072	101		
33305	102		
33655	103	252	366
33839	104	107	446
34006	105	149	406
34256	106	99	436
35055	107	162	481
35472	108	248	454
36272	109	116	168
36789	110	213	99
37573	111	884	260
37773	112	887	321
38840	113	855	116
39090	114	903	101
39490	115	837	66
39573	116	748	60
39708	117	760	64
39924	118	761	61
40341	119	135	354
40524	120	13	417
40841	121	275	344
41007	122	110	466
41174	123	378	386
42041	124	380	442
42624	125	179	485
Duration	42864
