RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
413	1	152	273
603	2	188	66
786	3	114	80
1186	4	276	77
1386	5	335	72
1703	6	210	305
1869	7	163	343
2053	8	159	310
2536	9	292	297
2853	10	390	300
3036	11	431	296
3236	12	539	301
3486	13	677	298
4419	14	255	446
4569	15	126	474
4769	16	77	490
5186	17	61	519
5269	18	66	599
5586	19	67	687
5953	20	62	883
6153	21	68	580
6519	22	79	656
6969	23	151	637
7669	24	154	626
8021	25	275	630
8287	26	455	621
8454	27	528	631
8704	28	542	616
8888	29	321	615
9171	30	292	613
9388	31	153	624
9554	32	93	706
9971	33	75	720
10121	34	164	703
10337	35	99	705
10521	36	68	714
10804	37	67	650
11071	38	81	725
11354	39	66	705
11754	40	68	698
12071	41	72	741
12371	42	75	685
12571	43	67	632
12971	44	71	691
13104	45	72	734
13354	46	168	727
13771	47	296	735
14037	48	444	732
14171	49	416	702
14254	50	410	709
14537	51	375	363
14787	52	388	334
15021	53	417	333
15104	54	428	312
15421	55	318	324
15687	56	200	306
15804	57	197	298
15937	58	227	699
16137	59	169	706
16387	60	183	311
16737	61	174	301
17370	62	323	301
18071	63	437	300
18354	64	326	309
18954	65	413	299
19187	66	420	321
19320	67	427	305
19454	68	510	301
19804	69	516	701
20037	70	405	713
20337	71	131	722
20504	72	77	735
21120	73	153	722
21220	74	181	365
21420	75	169	295
21787	76	290	305
22420	77	429	304
Duration	22752
