RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
6	1	429	197
239	2	422	199
406	3	616	229
489	4	602	249
656	5	115	498
872	6	79	438
1439	7	149	129
1639	8	110	37
1889	9	420	180
2389	10	429	147
2656	11	582	241
3022	12	128	454
3172	13	75	437
3322	14	61	411
3472	15	102	394
3755	16	69	428
4039	17	99	29
4222	18	194	48
4572	19	252	119
4705	20	135	505
4922	21	70	473
5289	22	619	522
5472	23	575	591
6072	24	670	582
6272	25	746	587
6406	26	824	596
6623	27	248	611
6889	28	329	605
7039	29	274	378
7256	30	540	292
7656	31	604	328
8023	32	608	277
8573	33	489	212
8906	34	471	171
9423	35	108	346
9572	36	89	410
9705	37	77	439
9905	38	380	153
10122	39	552	223
10272	40	593	238
10555	41	604	282
10689	42	599	311
10889	43	114	452
11039	44	56	460
11289	45	110	161
11572	46	154	71
11956	47	107	54
12389	48	223	58
12722	49	75	517
12956	50		
13055	51		
13155	52	609	575
13372	53	579	587
13505	54	680	596
13672	55	733	593
13855	56	809	589
13989	57	905	598
14189	58	645	620
14356	59	724	621
14573	60	780	621
14723	61		
14806	62	602	592
15139	63	702	595
15356	64	760	600
15589	65	818	604
15956	66	576	276
16189	67	631	245
16456	68	369	363
16689	69	108	417
16822	70	82	435
16988	71	295	400
17305	72	94	450
17489	73	224	575
17789	74	84	443
18139	75	62	407
18355	76	91	405
18555	77	70	415
18705	78	97	441
18872	79	125	430
19039	80	68	464
19322	81	154	147
19539	82	443	184
19739	83	428	156
20055	84	457	170
20222	85	619	247
20405	86	602	236
20789	87	626	252
21422	88	618	316
22504	89	622	228
23139	90	403	160
23522	91	165	424
23755	92	246	337
23955	93	826	389
24189	94	645	245
24406	95	240	183
24589	96	154	390
24772	97	79	478
25205	98	69	459
25455	99	399	214
25572	100	438	212
25855	101	607	259
26222	102	615	335
Duration	26273
