RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
3	1	337	274
270	2	213	328
420	3	81	339
653	4	92	295
770	5	101	50
970	6	107	75
1170	7	723	56
1354	8	634	50
1504	9	62	61
1720	10	95	73
2304	11	164	60
2820	12	143	61
2987	13	186	61
3187	14	218	57
3320	15	92	57
3620	16	659	50
3887	17	641	43
5071	18	638	83
5288	19	626	134
5504	20	656	130
5688	21	654	171
5854	22	656	198
6171	23	589	207
6437	24	561	176
6654	25	622	189
6854	26	651	197
7121	27	649	185
7588	28	668	205
7871	29	662	324
8104	30	666	315
8438	31	665	404
8771	32	539	333
8955	33	495	303
9138	34	566	190
9371	35	562	175
9722	36	650	194
10205	37	656	361
10588	38	669	466
10955	39	674	558
11238	40	663	192
11488	41	632	208
11705	42	652	69
11855	43	645	142
12105	44	612	136
12305	45	36	249
12488	46	81	274
12688	47	745	702
12855	48	680	722
13372	49	676	782
13639	50	681	977
13755	51	686	922
14155	52	670	457
14689	53	673	511
15305	54	657	192
15555	55	659	297
15972	56	659	241
16272	57	659	366
16655	58	669	445
16938	59	684	821
17555	60	679	885
17822	61	675	620
18155	62	641	627
18755	63	368	617
19138	64	116	623
19272	65	51	625
19622	66	225	603
19772	67	374	589
20005	68	677	621
20688	69	688	140
20838	70	663	98
21055	71	662	56
21138	72	662	135
21372	73	644	166
21605	74	657	201
21805	75	564	188
22122	76	541	161
22638	77	61	192
22805	78	33	177
22954	79	81	202
23138	80	513	179
23388	81	646	184
23621	82	711	188
23755	83	653	189
24055	84	620	176
24238	85	593	178
24505	86	568	179
24872	87	535	209
25072	88	661	249
25655	89	653	191
25888	90	653	273
26305	91	659	325
26605	92	661	368
27121	93	665	278
27238	94	651	228
27455	95	480	260
27655	96	81	209
27788	97	36	237
27938	98	73	266
28154	99	73	300
28571	100	706	258
28721	101	660	259
28905	102	658	314
29388	103	668	359
30005	104	664	314
30322	105	667	222
30738	106	652	185
31205	107	672	331
31472	108	672	375
31738	109	671	444
32121	110	668	425
32338	111	662	525
32655	112	681	673
32955	113	680	599
33205	114	667	665
33355	115	681	622
33555	116	669	780
34038	117	675	814
34155	118	677	836
34955	119	94	823
35121	120	50	852
35305	121	59	839
35571	122	611	501
35888	123	639	268
36055	124	506	289
36305	125	486	281
36538	126	561	142
36705	127	633	122
36838	128	653	199
37338	129	664	255
37955	130	668	313
38238	131	635	267
38421	132	649	198
38838	133	59	184
39021	134	35	180
39221	135	72	251
39421	136	690	249
39572	137	643	256
39655	138	671	260
39922	139	658	315
40172	140	22	302
40438	141	707	318
40572	142	665	321
40922	143	664	460
41172	144	672	411
41555	145	673	375
41855	146	656	367
42222	147	449	361
42356	148	108	358
42506	149	44	361
42638	150	64	374
42972	151	68	264
43171	152	80	209
43421	153	704	191
43538	154	654	191
43739	155	665	228
43955	156	666	283
44205	157	657	331
44322	158	661	298
44505	159	665	383
44772	160	673	366
45039	161	674	413
45289	162	661	367
45522	163	66	362
45839	164	654	415
46139	165	679	483
46522	166	668	521
46739	167	674	549
46989	168	674	621
47489	169	648	625
47722	170	68	629
47872	171	51	638
48105	172	658	624
48505	173	661	719
49472	174	682	724
49788	175	679	782
50055	176	682	834
50539	177	676	908
50772	178	460	353
51005	179	512	307
Duration	51045
