RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
14	1	339	234
448	2	116	145
681	3	119	47
1031	4	253	41
1314	5	104	85
1564	6	216	89
1781	7	264	90
1948	8	331	80
2181	9	400	76
2431	10	480	75
2614	11	410	141
2931	12	129	135
3281	13	124	182
3547	14	454	193
3781	15	234	187
4231	16	267	194
4364	17	660	128
4531	18	779	132
4731	19	882	129
4864	20	916	137
5047	21	465	166
5347	22	429	200
5497	23	365	197
5597	24	107	187
5797	25	77	176
6364	26	422	178
6564	27	392	183
6781	28	725	113
7349	29	98	183
7819	30	170	331
8136	31	227	385
8636	32	112	166
8869	33	86	178
9169	34	199	387
9536	35	230	399
9919	36	241	658
10119	37	462	698
10353	38	513	697
10769	39	537	699
11003	40	475	692
11169	41	473	651
11403	42	481	380
11636	43	923	417
11769	44	948	399
12036	45	494	414
12303	46	517	404
12503	47	485	437
12819	48	146	353
13119	49	253	402
13319	50	447	419
13586	51	413	415
13836	52	124	119
14019	53	100	192
14286	54	174	368
14519	55	336	404
14753	56	402	417
14936	57	459	598
15203	58	480	629
16286	59	630	611
16669	60	619	639
16836	61	521	167
17053	62	525	493
17253	63	601	454
17536	64	623	473
17736	65	888	472
17886	66	961	461
18053	67	679	462
18219	68	611	464
Duration	18743
