RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
412	1	306	180
662	2	328	91
912	3	528	104
1212	4	442	181
1629	5	311	46
1846	6	290	63
1979	7	410	35
2229	8	489	59
2512	9	316	428
2896	10	221	481
3079	11	239	509
4145	12	313	507
4262	13	310	517
4562	14	894	647
5013	15	813	638
5196	16	807	638
5346	17	814	637
5529	18	814	650
5729	19	826	130
5996	20	835	72
6196	21	880	60
6546	22	781	94
6813	23	827	80
7029	24	870	81
7463	25	809	637
7746	26	834	651
7963	27	831	674
8279	28	833	688
8746	29	816	665
9063	30	808	665
9179	31	833	674
9846	32	825	70
10099	33	488	62
10399	34	373	79
10582	35	297	84
10782	36	265	79
10999	37	244	304
11233	38	833	346
11916	39	839	364
12283	40	834	699
12833	41	827	717
13216	42	699	783
13566	43	835	677
13799	44	820	673
14116	45	825	671
14449	46	799	714
14649	47	815	705
14799	48	825	679
Duration	15131
