RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
7	1	189	38
390	2	394	151
657	3	372	167
890	4	510	157
1140	5	348	151
1424	6	609	234
1523	7	757	209
2574	8	475	592
2890	9	477	589
3040	10	437	387
3207	11	455	318
3457	12	479	328
3623	13	416	197
3807	14	378	182
4290	15	459	300
4540	16	468	307
4757	17	305	292
4973	18	33	286
5056	19	69	309
5340	20	480	299
5440	21	481	308
5590	22	516	317
5823	23	497	325
6140	24	637	315
6290	25	491	295
6440	26	90	271
6840	27	495	318
7606	28	504	291
8273	29	498	321
8973	30	503	318
9289	31	501	326
9623	32	498	343
9756	33	507	326
10089	34	76	318
10239	35	70	255
10423	36	466	163
10640	37	420	167
11406	38	454	170
Duration	11917
