RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
269	1	181	112
419	2	122	197
636	3	96	78
1019	4	138	61
1169	5	100	211
1336	6	151	181
1886	7	988	195
2319	8	852	555
2586	9	160	278
2919	10	124	135
3152	11	933	209
3369	12	913	192
3586	13	940	235
3952	14	131	233
4069	15	128	109
4219	16	291	81
4436	17	352	71
5086	18	941	223
5236	19	998	227
5385	20	977	236
5586	21	885	237
5869	22	878	222
6202	23	860	468
6419	24	852	535
6502	25	877	502
7169	26	764	321
7286	27	864	272
7536	28	887	276
7886	29	870	372
8469	30	800	317
8652	31	891	262
8869	32	887	370
9069	33	888	423
9536	34	859	523
9619	35	870	505
11169	36	840	513
11719	37	862	513
12402	38	859	514
12869	39	904	503
13052	40	846	513
13319	41	900	507
13902	42	884	224
14052	43	907	176
14236	44	881	207
14869	45	222	194
15171	46	175	223
15304	47	868	274
15654	48	923	519
16237	49	169	201
16487	50	823	462
16737	51	862	508
16971	52	846	493
17504	53	171	275
17704	54	121	278
18004	55	132	167
18254	56	121	188
18521	57	900	173
18637	58	933	158
18871	59	898	191
19171	60	889	483
19354	61	871	512
19637	62	867	501
20387	63	858	457
20504	64	860	510
Duration	20792
