RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
66	1	361	333
433	2	335	205
1250	3	229	930
1583	4	123	821
1883	5	198	820
2316	6	109	912
2566	7	83	916
2750	8	203	916
3033	9	109	901
3150	10	84	928
3366	11	193	946
3583	12	78	931
3900	13	86	881
4183	14	146	863
4316	15	198	907
4733	16	257	883
4916	17	153	877
5300	18	96	943
5900	19	525	616
6033	20	513	548
6200	21	484	594
6433	22	319	220
6616	23	353	220
6883	24	645	342
7050	25	682	347
7466	26	812	527
7733	27	478	533
7933	28	476	567
8350	29	488	542
8600	30	234	459
8816	31	207	473
8966	32	741	528
9183	33	795	537
9449	34	794	547
9749	35	793	528
9966	36	845	814
10150	37	918	840
10633	38	512	614
10883	39	253	296
11083	40	149	272
11283	41	69	326
11533	42	243	459
11683	43	555	250
11883	44	708	311
12050	45	696	355
12333	46	371	210
12450	47	344	205
12800	48	701	374
12883	49	688	357
13083	50	482	523
13250	51	468	564
13549	52	769	549
13799	53	787	564
14066	54	709	533
14266	55	690	352
14383	56	352	194
14599	57	322	202
14716	58	687	340
15049	59	450	526
15183	60	465	555
15333	61	756	551
Duration	15776
