RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
1	1	157	324
285	2	289	428
451	3	173	458
635	4	193	453
835	5	241	175
1135	6	312	117
1351	7	340	95
1551	8	309	90
1835	9	352	84
2085	10	255	135
2335	11	221	146
2568	12	228	204
3035	13	224	538
3335	14	178	946
3635	15	195	946
3768	16	200	887
4018	17	67	926
4435	18	45	931
4568	19	170	922
4868	20	188	910
5135	21	202	220
5384	22	177	132
5651	23	220	127
6084	24	202	418
6551	25	182	419
6868	26	136	416
6951	27	134	425
7068	28	201	458
7384	29	175	422
7735	30	205	168
7968	31	154	124
8134	32	135	93
8501	33	79	86
8884	34	164	308
9118	35	173	382
9418	36	167	378
9518	37	173	358
9734	38	171	343
10118	39	171	422
10584	40	177	408
11251	41	127	402
11584	42	210	197
11751	43	185	142
12034	44	181	308
12518	45	161	554
12884	46	168	582
13084	47	158	559
13534	48	195	312
13618	49	190	339
13818	50	177	411
14284	51	166	444
14601	52	168	614
14751	53	167	574
15435	54	153	788
15801	55	148	744
16051	56	155	757
16301	57	164	758
16484	58	69	764
16834	59	52	767
17201	60	78	643
17801	61	158	550
18284	62	50	562
18551	63	52	559
18684	64	189	569
18934	65	152	565
19201	66	193	201
19534	67	163	134
19867	68	159	148
20017	69	201	138
20334	70	165	149
21084	71	169	495
21167	72	150	481
21401	73	146	462
21651	74	174	476
21851	75	167	431
22151	76	138	444
22367	77	137	440
22634	78	153	636
22984	79	145	879
23284	80	158	896
23551	81	151	916
23884	82	161	794
24067	83	146	932
24217	84	148	889
24400	85	158	890
24934	86	189	920
25867	87	253	191
26034	88	284	88
27067	89	267	87
27467	90	153	877
27850	91	165	852
28084	92	156	901
29117	93	52	883
29417	94	131	902
29667	95	172	921
29934	96	160	759
30217	97	153	826
30400	98	150	794
30617	99	168	353
30984	100	156	412
31100	101	161	356
31434	102	155	368
31984	103	124	379
32450	104	64	381
32900	105	55	375
33600	106	79	920
33700	107	38	922
33884	108	48	888
34200	109	117	907
34367	110	157	890
35000	111	133	415
35117	112	161	380
35400	113	166	327
35667	114	158	536
35950	115	153	459
36134	116	149	431
36417	117	148	562
36667	118	156	600
36917	119	150	598
37267	120	151	587
37350	121	154	611
37600	122	142	623
38017	123	32	608
38250	124	50	617
38417	125	53	621
Duration	38808
