RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
10	1	260	43
360	2	479	275
660	3	568	357
877	4	484	462
1077	5	169	568
1376	6	259	107
1560	7	116	47
1909	8	416	79
2143	9	386	119
2343	10	380	134
2493	11	507	133
2793	12	482	106
2959	13	386	111
3560	14	890	262
3793	15	826	261
4226	16	771	240
4510	17	441	207
4693	18	297	201
4843	19	335	341
5010	20	317	334
5310	21	236	372
5493	22	722	325
5593	23	721	312
5726	24	773	291
5926	25	815	259
6310	26	841	256
7310	27	848	459
7576	28	818	462
7859	29	189	583
8780	30	236	414
9015	31	312	334
9148	32	148	514
9348	33	128	542
9648	34	251	171
9898	35	328	102
10381	36	453	125
10598	37	193	506
10848	38	131	546
10948	39	157	557
11281	40	318	363
11515	41	315	325
11815	42	223	390
12081	43	130	560
12398	44	193	628
12864	45	143	627
13181	46	211	615
13531	47	599	411
13731	48	777	288
13981	49	808	303
14131	50	822	270
14614	51	839	250
15464	52	817	232
15681	53	346	336
15814	54	316	330
16098	55	131	497
16414	56	145	566
16731	57	206	390
17031	58	333	79
17281	59	372	119
17514	60	463	121
17864	61	289	369
18181	62	296	241
18448	63	736	512
18664	64	837	469
Duration	18809
