RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
137	1	258	190
338	2	104	323
472	3	74	305
872	4	100	127
1022	5	81	66
1355	6	172	141
1605	7	108	178
2005	8	387	129
2905	9	517	173
3305	10	433	480
3522	11	437	455
3739	12	240	333
4039	13	351	370
4622	14	512	361
4855	15	574	366
5189	16	502	347
5372	17	437	465
5705	18	392	473
6455	19	103	128
6722	20	198	138
7089	21	107	137
7756	22	848	256
8406	23	56	341
8572	24	134	127
8655	25	125	146
8839	26	102	128
9289	27	100	157
9522	28	113	171
9706	29	551	162
9956	30	712	134
10090	31	691	187
10806	32	125	124
11039	33	750	592
11625	34	412	375
12009	35	604	382
12475	36	716	381
14197	37	54	33
14446	38	206	21
14765	39	877	392
Duration	15602
