RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
10	1	308	48
360	2	816	214
627	3	931	204
760	4	879	422
993	5	442	458
1127	6	362	512
1310	7	650	518
1743	8	243	495
2260	9	917	496
2410	10	882	506
2810	11	797	457
2977	12	790	264
3143	13	779	328
3393	14	786	329
3693	15	798	247
3860	16	917	295
4060	17	911	373
4343	18	836	518
4660	19	806	497
4910	20	807	496
5564	21	765	505
5699	22	845	516
5999	23	821	500
6282	24	799	514
6549	25	794	505
6849	26	771	504
7715	27	790	489
7799	28	791	496
8149	29	806	511
8549	30	800	505
8782	31	860	289
8932	32	781	269
9165	33	826	322
9415	34	404	370
9549	35	378	376
9682	36	373	381
9899	37	494	401
10049	38	472	388
10365	39	426	383
10515	40	369	199
10665	41	374	211
10932	42	417	204
11136	43	417	216
11353	44	415	213
12069	45	498	228
12303	46	721	527
12636	47	823	499
13003	48	793	495
13419	49	875	519
13552	50	845	497
13936	51	431	381
14219	52	436	388
14319	53	355	378
14922	54	796	508
15075	55	762	505
15375	56	783	518
15658	57	801	515
15941	58	795	506
16075	59	770	510
16658	60	788	487
16791	61	783	516
16941	62	814	284
17591	63	800	346
17775	64	802	279
18075	65	814	250
18225	66	811	275
18475	67	851	245
18658	68	893	246
19025	69	806	244
19558	70	902	243
19825	71	914	301
20873	72		
Duration	21170
