RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
16	1	663	426
116	2	448	278
566	3	269	197
733	4	345	127
1199	5	759	122
1383	6	896	113
2016	7	944	179
2150	8	901	191
2533	9	445	624
2683	10	353	131
2917	11	249	125
3083	12	140	122
3283	13	178	126
3533	14	68	111
3666	15	123	145
4233	16	130	230
4449	17	95	168
4650	18	102	141
4900	19	303	135
5166	20	204	134
5433	21	117	139
5616	22	130	354
5999	23	192	601
6233	24	142	579
6349	25	136	441
6649	26	101	483
6916	27	172	290
7249	28	169	161
7483	29	189	137
7783	30	188	388
7983	31		
8216	32	238	639
8349	33	212	644
8483	34	412	626
8749	35	485	617
8882	36	675	601
9149	37	723	601
9333	38	711	427
9516	39	695	355
11899	40	690	348
13149	41	706	290
13316	42	701	345
13532	43	921	390
13816	44	958	363
13983	45	918	386
14116	46	788	366
14216	47	697	375
14549	48	784	383
14833	49	706	379
15100	50	614	369
15300	51	237	339
15483	52	65	336
15699	53	88	370
15999	54	72	223
16132	55	101	138
16416	56	136	138
16649	57	256	122
16949	58	113	561
17082	59	75	432
17266	60	89	328
17632	62		
17932	63	902	507
18099	64	945	374
18316	65	952	138
18599	66	890	148
18966	67	866	123
19200	68	896	114
19599	69	925	181
19866	70	880	340
20083	71	915	395
20400	72	805	369
20683	73	746	371
21016	74	873	270
21199	75	906	165
21399	76	862	117
22132	77	849	137
22449	78	882	140
22883	79	907	133
23016	80	850	110
23333	81	154	123
23483	82	50	116
23615	83	97	148
23932	84	85	216
24049	85	83	350
24265	86	80	375
24465	87	109	478
24665	88	184	266
24932	89	239	142
25282	90	276	133
25549	91	218	127
25749	92	119	123
26132	93	202	117
26332	94	167	115
26582	95	258	122
27732	96	232	116
28015	97	262	116
28282	98	85	285
28715	100		
30048	104		
30898	106		
31098	107		
31165	108	379	395
31448	109	539	303
31665	110	512	204
31815	111	510	146
31982	112	557	142
32198	113	326	141
32565	114	251	237
32765	115	104	265
33015	116	83	261
33215	117	116	159
33548	118	134	145
33682	119	284	148
33832	120	363	148
34132	121	408	147
34365	122	129	152
34782	123	639	379
35048	124	715	366
35332	125	700	581
35815	126	769	591
35998	127	729	581
36282	128	688	328
36732	129	645	342
36865	130	775	376
37031	131	928	359
37382	132	706	376
38149	133	709	621
38482	134	681	580
38699	135	693	620
38899	136	707	344
39132	137	681	378
39465	138	150	338
39632	139	47	343
39865	140	806	357
40081	141	945	350
40232	142	914	362
40365	143	872	274
40682	144	909	142
40882	145	860	126
41082	146	859	104
41282	147	617	129
41515	148	516	131
41715	149	86	95
41848	150	133	120
41965	151	236	114
42465	152	104	289
42731	153	161	353
42881	154	689	379
43365	155	711	589
43665	156	716	509
43898	157	700	322
44181	158	699	350
44481	159	717	543
44764	160	705	575
45081	161	702	357
45448	162	871	260
45781	163	943	252
46015	164	711	416
46265	165	689	366
46482	166	694	638
46682	167	691	631
46998	168	694	449
47182	169	680	356
47415	170	708	373
47715	171	639	382
47915	172	351	350
47998	173	359	365
48131	174	78	344
48314	175	113	372
48414	176	93	383
48698	177	584	369
49098	178	185	365
49264	179	102	343
49431	180	147	166
49631	181	90	169
49848	182	124	139
50098	183	228	117
50431	184	265	119
50831	185	180	114
51031	186	113	108
51314	187	182	116
51581	188	232	116
51948	189	113	284
52314	190	89	381
53064	191	102	316
53297	192	212	146
53581	193	255	123
54048	194	220	116
54281	195	195	111
54448	196	241	120
54631	197	287	121
54848	198	400	37
55048	199	405	63
55247	200	939	103
55365	201	890	141
55531	202	850	144
55631	203	554	143
55981	204	719	139
56181	205	840	619
56548	207		
56781	208	155	642
56948	209	135	631
57165	210	180	635
57681	211	713	421
58065	212	668	413
58315	213	677	564
58515	214	683	623
58682	215	717	456
58865	216	891	380
59232	217	931	158
59415	218	867	152
59965	219	858	172
60165	220	831	168
60431	221	877	141
60981	222	742	158
61131	223	849	136
61815	224	896	151
62331	225	862	148
62548	226	901	142
63081	227	912	174
63514	228	862	164
63731	229	834	154
64115	230	884	166
64431	231	861	153
64565	232	817	159
65031	233	838	326
65365	234	744	376
65531	235	686	368
65798	236	818	393
65931	237	847	402
66448	238	364	367
66565	239	157	367
66665	240	64	364
67014	241	111	156
67248	242	67	126
67498	243	152	119
67681	244	219	113
68464	245	186	159
68781	246	288	94
68981	247	350	73
69181	248	97	59
69364	249	71	68
69564	250	151	65
69798	251	240	77
70364	252	88	165
70698	253	86	138
70948	254	184	119
71131	255	229	102
71398	256	200	115
71748	257	112	134
71998	258	95	156
72214	259	78	229
72447	260	73	446
72647	261	132	630
72981	262		
73514	263	159	630
Duration	74187
