RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
11	1	403	343
294	2	199	322
411	3	111	333
644	4	289	93
927	5	134	41
1127	6	457	45
1278	7	503	47
1594	8	659	38
1728	9	641	51
2111	10	693	154
2827	11	150	204
2961	12	112	192
3244	13	103	267
3461	14	100	323
3661	15	97	389
3894	16	108	453
4344	17	103	527
4644	18	98	593
4827	19	97	642
5094	20	89	717
5594	21	95	766
5877	22	291	762
6061	23	349	758
6644	24	357	711
6977	25	351	507
7361	26	351	143
7977	27	483	75
8161	28	329	157
8527	29	260	903
8711	30	171	906
8877	31	105	898
9094	32	163	108
9294	33	178	34
9444	34	271	59
9677	35	245	32
9927	36	140	35
10244	37	126	61
10427	38	218	65
Duration	10456
