RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
9	1	390	400
1325	2	440	393
2158	3	594	83
2442	4	838	47
2626	5	781	71
2792	6	367	95
2976	7	218	83
3176	8	101	31
3308	9	135	50
3408	10	225	47
3592	11	553	94
3775	12	593	73
4458	13	659	74
4775	14	633	81
5175	15	810	48
5475	16	812	69
5775	17	427	447
6008	18	289	426
6292	19	620	404
6492	20	623	395
6642	21	825	382
6825	22	726	144
7108	23	747	410
7325	24	727	389
7458	25	632	357
7658	26	551	367
8025	27	169	376
8342	28	154	142
8925	29	299	153
9275	30	481	147
9475	31	543	150
9858	32	541	158
9991	33	632	141
10258	34	622	399
10491	35	563	326
10792	36	414	153
11008	37	309	136
11325	38	153	165
11491	39	151	150
11725	40	154	398
11991	41	161	568
12291	42	157	551
12408	43	88	491
13025	44	455	222
13208	45	459	134
13458	46	302	47
13725	47	221	50
13958	48	114	42
14275	49	171	48
14525	50	356	33
14758	51	325	48
14908	52	411	48
15108	53	180	377
15358	54	146	150
15775	55	311	158
16024	56	173	149
16224	57	144	155
16575	58	299	153
16975	59	305	153
17291	60	564	138
17575	61	543	147
18175	62	304	149
19042	63	557	145
19208	64	537	142
19508	65	644	139
20394	66	502	402
20711	67	576	397
Duration	21570
