RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
5	1	431	304
388	2	411	167
571	3	141	265
738	4	88	334
1138	5	438	159
1388	6	533	158
1688	7	125	253
1955	8	71	273
2138	9	287	266
2421	10	216	363
2638	11	266	345
2871	12	314	516
3005	13	293	493
3271	14	299	578
3521	15	235	727
3805	16	160	761
4105	17	169	715
4321	18	199	642
4621	19	230	631
4838	20	187	547
4988	21	52	643
5305	22	67	547
5521	23	60	600
5821	24	53	735
6238	25	197	732
6438	26	254	552
6704	27	224	504
7104	28	228	465
7254	29	283	481
7471	30	213	453
7971	31	196	400
8238	32	229	357
8588	33	192	287
8804	34	234	285
8954	35	200	299
9088	36	58	299
9304	37	165	290
9488	38	548	292
9671	39	747	289
9971	40	81	296
10088	41	194	295
10221	42	253	294
10388	43	220	292
10571	44	691	308
10754	45	767	298
11038	46	760	153
11371	47	769	315
12021	48	171	313
12188	49	45	329
12388	50	704	303
12587	51	765	309
12754	52	760	160
13154	53	746	354
13304	54	764	325
Duration	13370
