RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
5	1	304	12
388	2	416	218
588	3	396	223
704	4	355	215
921	5	395	211
1255	6	386	360
1438	7	360	360
1621	8	442	359
1788	9	349	363
2005	10	419	366
2255	11	883	317
2505	12	911	297
2638	13	865	301
2838	14	467	342
3088	15	192	67
3288	16	116	72
3521	17	280	500
3838	18	718	498
4038	19	835	503
4304	20	871	307
4488	21	734	500
4855	22	823	309
5071	23	906	302
5305	24	886	289
5755	25	874	294
6154	26	224	210
6404	27	381	220
6588	28	363	212
7171	29	347	368
7521	30	403	363
7871	31	458	355
8104	32	365	365
8421	33	414	373
8621	34	373	214
8988	35	857	220
9204	36	373	194
9354	37	348	200
9655	38	381	196
10038	39	386	203
10328	40	239	181
10501	41	152	68
10684	42	101	76
10951	43	102	39
11051	44	120	51
11151	45	166	57
11368	46	113	39
11501	47	230	44
11784	48	90	70
12068	49	162	78
12284	50	90	75
12584	51	157	80
13001	52	103	71
13201	53	233	81
13518	54	293	88
13701	55	387	87
13951	56	476	90
14334	57	629	181
14518	58	889	227
15068	59	366	202
15317	60	345	204
15451	61	346	361
15651	62	424	363
15918	63	401	363
16168	64	445	360
16518	65	344	365
16934	66	379	363
17134	67	340	366
17334	68	459	360
17568	69	805	306
17751	70	887	292
18134	71	488	339
18367	72	791	475
18567	73	846	494
18884	74	889	383
18967	75	902	359
19151	76	745	515
19367	77	846	502
19601	78	889	271
19901	79	874	295
20467	80	193	361
20601	81	370	365
20834	82	441	364
21234	83	280	526
21317	84	263	533
21434	85	123	530
21617	86	358	205
22034	87	387	200
22351	88	367	225
22617	89	136	539
22801	90	92	529
23101	91	171	533
23434	92	231	537
23751	93	309	534
23884	94	416	517
24167	95	52	18
24351	96	89	64
24567	97	152	67
24784	98	95	64
25001	99	154	71
25417	100	88	23
25634	101	135	36
25834	102	241	43
26001	103	139	41
26334	104	208	42
26534	105	348	209
26751	106	377	200
26934	107	341	205
27184	108	882	214
27600	109	875	239
27817	110	843	492
28067	111	868	256
28600	112	844	508
28800	113	859	491
29050	114	851	266
29267	115	868	257
29717	116	860	318
30000	117	859	471
30600	118	734	502
30884	119	834	495
31100	120	848	488
31400	121	861	322
32100	122	868	264
32184	123	871	248
32717	124	849	507
32867	125	864	488
33267	126	861	401
33617	127	869	250
34384	128	853	289
34717	129	188	306
35017	130	146	480
35267	131	91	496
35417	132	363	335
35684	133	261	194
35883	134	422	221
36067	135	561	189
36217	136	173	172
36567	137	699	206
36834	138	545	179
37300	139	297	192
37483	140	192	158
37767	141	140	160
38267	142	196	164
38667	143	132	164
39034	144	139	480
39783	145	202	490
39983	146	144	158
40467	147	200	162
41000	148	153	162
41200	149	128	163
42200	150	129	240
42483	151	129	173
42767	152	110	468
43067	153	91	473
43450	154	134	470
43700	155	208	489
43933	156	140	473
44600	157	133	303
44817	158	147	166
45200	159	133	471
45850	160	112	469
46166	161	124	472
47033	162	97	470
47866	163	87	493
49140	164	235	159
Duration	49202
