RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
6	1	6	607
222	2	317	399
455	3	364	402
805	4	341	324
1089	5	266	240
1489	6	209	891
1655	7	192	999
1805	8	294	979
2072	9	430	986
2255	10	448	993
2405	11	561	990
2572	12	422	939
2755	13	419	891
3022	14	429	53
3605	15	450	45
3772	16	486	27
3989	17	521	35
4339	18	418	76
4772	19	113	77
5005	20	186	84
5322	21	138	90
5855	22	267	49
6055	23	207	63
6222	24	400	97
6622	25	469	83
6805	26	442	112
7089	27	377	108
7455	28	450	72
8055	29	410	108
8189	30	379	110
8389	31	467	100
8639	32	502	99
8938	33	489	902
9055	34	439	996
9155	35	423	983
9456	36	534	982
9710	37	533	855
9959	38	549	838
10109	39	557	517
10559	40	529	868
10693	41	515	854
10809	42	370	849
11009	43	339	878
11684	44	505	859
11875	45	547	843
12128	46	555	503
12411	47	371	515
12730	48	352	550
13140	49	554	497
13230	50	577	514
13468	51	530	152
13885	52	553	503
14285	53	505	859
14485	54	347	862
15869	56	514	630
Duration	15950
