RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
393	1	455	218
593	2	393	292
710	3	208	303
893	4	169	303
1243	5	189	50
1493	6	304	44
1727	7	203	67
1927	8	181	53
2043	9	242	72
2410	10	169	120
3043	11	313	167
3743	12	160	307
4060	13	104	408
4260	14	101	491
4593	15	105	533
4910	16	115	579
5243	17	114	644
5460	18	110	662
6093	19	96	558
6326	20	101	517
6576	21	107	482
7243	22	106	535
7793	23	113	583
8110	24	105	624
8460	25	106	663
9010	26	110	513
9243	27	104	492
9510	28	110	464
10410	29	114	495
10859	30	113	520
11726	31	107	550
12226	32	108	570
12493	33	121	596
12776	34	107	621
12976	35	123	603
13159	36	104	632
13576	37	101	643
13759	38	121	670
14726	39	141	669
14893	40	120	652
15093	41	106	529
15376	42	109	451
15709	43	113	366
15859	44	120	359
16709	45	120	397
17409	46	264	376
17593	47	278	405
17859	48	190	248
18042	49	155	306
18276	50	184	301
18509	51	302	185
18942	52	342	230
19142	53	317	233
19426	54	223	774
19593	55	170	797
19992	56	217	685
20293	57	299	740
20776	58	293	736
21009	59	293	753
21159	60	92	853
21342	61	63	836
21559	62	203	893
22209	63	186	933
22626	64	377	911
22926	65	450	911
23142	66	421	905
23426	67	494	903
23759	68	428	607
24009	69	378	230
24492	70	390	280
24776	71	398	365
25076	72	391	462
25242	73	387	382
25526	74	299	398
25676	75	273	405
26026	76	334	393
26226	77	286	394
26426	78	311	144
26742	79	307	216
27176	80	305	394
27375	81	329	135
27675	82	200	120
27925	83	284	402
28392	84	267	347
28625	85	101	371
28875	86	167	159
29042	87	160	121
29392	88	224	832
29559	89	201	769
29759	90	326	689
30025	91	343	623
30275	92	309	638
30725	93	338	600
30892	94	314	594
31659	95	118	704
32025	96	290	420
32209	97	287	390
32425	98	408	403
32842	99	393	465
33075	100	380	357
33509	101	381	299
33725	102	468	334
33892	103	441	348
34175	104	486	341
34658	105	301	343
35025	106	347	143
35292	107	395	113
35708	108	196	116
36008	109	202	296
36392	110	248	149
36625	111	178	121
36858	112	185	657
37058	113	158	807
37208	114	80	834
37575	115	209	928
37825	116	285	360
38025	117	259	350
38275	118	287	405
38475	119	283	389
38908	120	287	393
38992	121	271	346
39375	122	300	257
39625	123	371	295
39792	124	355	365
39958	125	394	381
40208	126	386	347
40491	127	389	351
40692	128	391	289
41125	129	313	277
41358	130	337	223
41508	131	307	240
41658	132	323	443
41841	133	404	441
42075	134	388	398
42241	135	375	499
42458	136	385	473
42758	137	393	530
43275	138	357	603
43425	139	378	381
43608	140	381	346
43958	141	258	351
44658	142	293	346
45191	143	257	351
45525	144	275	411
45641	145	282	399
46041	146	268	347
46341	147	168	315
46658	148	277	387
46924	149	276	340
47258	150	385	346
47491	151	443	355
47975	152	390	364
48491	153	451	353
48841	154	473	354
49175	155	444	352
49375	156	330	356
49741	157	308	334
50258	158	277	352
50575	159	308	335
51274	160	275	334
51624	161	311	328
51908	162	311	295
52108	163	310	190
52191	164	313	210
52391	165	313	230
52624	166	319	135
52825	167	226	95
53091	168	232	559
53374	169	255	683
53524	170	297	739
53758	171	257	953
54008	172	302	976
54274	173	136	580
54491	174	98	609
54658	175	101	743
55041	176	91	852
55308	177	81	944
55474	178	104	494
55674	179	112	343
55924	180	138	335
56108	181	119	367
56541	182	120	396
57058	183	128	418
57841	184	278	358
58207	185	284	389
58591	186	269	351
58824	187	341	382
59008	188	313	311
59291	189	270	352
59624	190	319	350
60108	191	337	350
60209	192	315	251
60492	193	388	333
60658	194	396	360
61075	195	372	346
61242	196	291	332
61542	197	315	303
61725	198	311	200
61925	199	297	231
62308	200	293	126
62542	201	299	150
62908	202	290	282
63108	203	302	333
Duration	65524
