RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
10	1	27	334
260	2	397	387
410	3	447	148
710	4	182	119
1826	5	168	115
2126	6	201	168
2610	7	129	376
2776	8	153	299
2993	9	300	249
3193	10	238	92
3593	11	419	129
3810	12	183	504
4060	13	92	783
4293	14	422	916
4493	15	475	935
4793	16	253	916
4959	17	225	912
5426	18	408	994
5693	19	448	965
5976	20	409	461
6209	21	401	146
6743	22	397	500
6960	23	416	466
7193	24	418	474
7343	25	408	283
7726	26	466	104
8776	27	259	58
9343	28	236	61
9576	29	177	119
10593	30	290	401
10976	31	262	751
11159	32	232	690
11343	33	148	824
11593	34	66	846
11826	35	176	799
12209	36	194	918
12343	37	170	939
12559	38	76	536
12843	39	85	497
13043	40	93	343
13459	41	96	383
13626	42	81	371
13826	43	79	477
14026	44	87	406
14259	45	92	418
14492	46	76	453
15076	47	83	527
15259	48	81	492
15593	49	78	571
16142	50	75	560
16359	51	69	581
16626	52	68	565
16776	53	68	522
16976	54	77	495
17309	55	85	548
17393	56	71	599
17909	57	85	566
18259	58	83	550
18542	59	74	561
18959	60	71	615
19376	61	93	662
19826	62	89	692
20092	63	74	694
20626	64	360	684
21376	65	305	753
21848	66	429	630
22365	67	385	674
22715	68	376	647
23048	69	373	800
23348	70	364	919
23665	71	378	994
23765	72	389	840
24082	73	367	807
24515	74	379	722
25165	75	383	697
25498	76	371	432
26448	77	383	393
27789	78	487	130
28005	79	483	59
28389	80	148	391
28589	81	109	372
28722	82	498	360
29105	83	449	338
29355	84	409	325
29805	85	477	343
29922	86	417	222
30105	87	447	93
30305	88	473	131
30505	89	484	121
30705	90	129	393
31238	91	419	282
31489	92	297	352
31772	93	379	141
32238	94	146	981
32388	95	403	983
32605	96	481	985
32872	97	417	280
33405	98	391	361
33672	99	467	353
33972	100	417	969
34522	101	470	987
34772	102	385	974
35255	103	460	368
35405	104	442	338
35488	105	444	328
35705	106	402	346
35872	107	479	336
36538	109	479	360
36738	110	468	364
37055	111	486	330
38339	112	473	995
38472	113	415	310
38655	114	483	70
39038	115	500	59
39122	116	556	48
39488	117	442	566
39655	118	459	949
Duration	40162
