RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
14	1	337	164
230	2	335	159
364	3	602	262
497	4	556	164
764	5	830	205
897	6	770	203
1097	7	399	167
1363	8	423	180
1647	9	594	180
1847	10	565	198
2030	11	642	179
2480	12	564	180
2713	13	432	179
3364	14	435	178
3797	15	660	169
4097	16	661	172
4214	17	850	221
4597	18	826	228
4781	19	956	284
5031	20	796	215
5631	21	570	164
5931	22	402	175
6248	23	577	183
6448	24	778	182
6731	25	748	198
6898	26	391	183
7214	27	727	628
7364	28	760	615
7531	29	747	187
8264	30	709	579
8481	31	302	226
8665	32	47	212
8931	33	115	477
9197	34	310	667
9447	35	469	31
9614	36	131	85
9947	37	89	180
10181	38	167	632
10314	39	104	586
10531	40	988	389
Duration	10751
