RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
5	1	274	354
122	2	253	158
372	3	166	197
555	4	182	257
755	5	201	66
1005	6	307	57
1322	7	169	74
1522	8	173	152
1738	9	169	180
2022	10	170	209
2722	11	163	248
2855	12	147	326
2938	13	144	323
3238	14	165	295
3488	15	157	346
3605	16	164	364
3888	17	154	406
4221	18	165	349
4421	19	154	313
4821	20	153	482
4971	21	148	511
5255	22	152	566
5671	23	147	601
5938	24	156	621
6438	25	152	646
6621	26	148	712
6788	27	152	723
7071	28	148	767
7238	29	158	789
7471	30	167	840
7771	31	155	872
8005	32	154	902
8321	33	171	274
8588	34	165	238
8821	35	245	255
9071	36	207	192
9188	37	175	196
9571	38	179	163
9738	39	343	188
10105	40	389	133
10355	41	175	161
10905	42	167	309
11338	43	157	349
11788	44	165	348
11905	45	195	362
12238	46	155	392
12438	47	157	374
12604	48	161	426
12871	49	130	411
13171	50	301	410
13371	51	370	413
13704	52	380	424
13921	53	387	143
14054	54	398	128
14421	55	468	102
14671	56	554	102
15054	57	626	123
15338	58	702	131
15604	59	684	143
16238	60	746	95
16354	61	761	122
16687	62	755	139
17354	63	767	92
17625	64	767	104
17780	65	759	144
18051	66	749	205
18284	67	745	243
18534	68	251	328
18684	69	170	347
19034	70	170	325
19367	71	160	368
19584	72	178	381
19834	73	164	429
19951	74	162	407
20217	75	407	417
20467	76	578	421
20784	77	660	425
21201	78	758	123
21617	79	729	377
22034	80	794	409
22267	81	751	414
22501	82	861	103
22634	83	777	121
Duration	22744
