RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
52	1	294	145
252	2	130	56
669	3	117	179
1135	4	238	186
1252	5	959	176
1819	6	879	513
2102	7	904	562
2486	8	678	481
2688	9	250	282
2938	10	113	209
5446	11	124	89
5879	12	105	95
7246	14	586	201
7646	15	164	97
7830	16	84	105
8146	17	140	94
8446	18	112	97
8880	19	174	99
9596	20	237	82
9930	21	302	100
10113	22	362	101
10429	23	119	138
10696	24	87	151
10813	25	105	176
11213	26	434	536
11563	27	639	530
11696	28	524	546
12213	29	484	556
12846	30	498	529
13080	31	505	362
13446	32	496	438
13680	33	490	296
13929	34	58	171
14146	35	115	173
14280	36	107	233
14663	37	109	195
14996	38	215	213
15263	39	106	92
15396	40	113	115
15513	41	167	100
15763	42	101	213
16396	43	124	200
16680	44	216	209
16980	45	247	216
17079	46	331	217
17629	47	239	215
17963	48	119	185
18313	49	197	177
18646	50	245	176
19013	51	533	509
19429	52	485	548
20179	53	493	450
20579	54	491	308
20729	55	503	297
20963	56	917	299
21213	57	925	274
21379	58	460	291
21579	59	491	285
21879	60	518	537
22379	61	498	535
22746	62	497	371
23163	63	508	313
23329	64	509	285
23813	65	924	291
24113	66	500	293
25112	67	505	286
25663	68	494	293
26096	69	813	295
26229	70	932	285
26446	71	931	280
26613	72	517	286
26946	73	498	283
27363	74	495	316
27779	75	500	286
27929	76	494	287
29179	77	835	290
29262	78	935	293
29712	79	473	274
29929	80	149	160
30079	81	109	206
Duration	30297
