RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
0	1	327	190
284	2	166	95
534	3	206	454
834	4	144	389
984	5	145	91
1134	6	102	73
1401	7	869	111
1734	8	127	42
2001	9	103	44
2167	10	140	42
2501	11	193	53
2867	12	106	49
3300	13	141	51
3450	14	286	386
3900	15	511	432
4050	16	516	324
4267	17	595	333
4417	18	906	108
4650	19	962	126
5067	20	876	126
5334	21	622	441
5701	22	600	516
5817	23	470	505
6150	24	176	538
6417	25	162	506
6600	26	132	372
6767	27	80	381
6984	28	362	511
7600	29	290	521
8000	30	706	500
8500	31	626	492
9117	32	571	510
9467	33	480	508
9800	34	774	510
10050	35	879	514
10284	36	899	225
10484	37	899	433
10700	38	862	358
10867	39	856	272
11017	40	841	493
11233	41	53	439
11350	42	68	459
11500	43	152	512
11734	44	73	228
11934	45	100	73
12350	46	77	156
12600	47	72	231
12867	48	568	248
13033	49	655	220
13233	50	120	216
13400	51	86	226
13583	52	711	219
13917	53	693	226
14200	54	682	448
14683	55	458	512
15000	56	531	507
15150	57	908	219
15334	58	957	212
15600	59	854	95
15733	60	815	64
15967	61	152	110
16100	62	140	54
16300	63	184	46
16450	64	867	46
16650	65	836	51
17000	66	697	216
17183	67	653	188
17433	68	139	149
17550	69	147	70
17800	70	77	198
18300	71	664	210
18666	72	99	228
19000	73	629	233
19167	74	668	230
19483	75	80	245
19850	76	329	237
20033	77	688	222
20516	78	681	522
20766	79	695	383
21033	80	711	271
21183	81	726	233
21483	82	115	230
21650	83	82	242
21866	84	733	232
22083	85	704	227
22734	86	761	218
22918	87	694	205
23035	88	677	517
23285	89	712	246
23535	90	713	201
23735	91	83	215
24085	92	716	200
24451	93	718	454
24751	94	732	417
24951	95	754	301
25201	96	783	236
25635	97	139	232
25934	98	696	222
26334	99	799	232
26518	100	777	223
26868	101	646	220
27068	102	786	212
27218	103	232	222
27601	104	787	230
27751	105	785	475
28001	106	808	273
28351	107	839	225
29134	108	814	214
29334	109	841	219
29884	110	719	212
30084	111	647	212
30234	112	80	215
30501	113	670	178
30818	114	820	401
31101	115	835	269
31334	116	813	178
31784	117	780	488
32118	118	817	498
32251	119	851	415
32451	120	845	235
32651	121	849	444
32868	122	681	500
33151	123	730	322
33852	124	956	234
34086	125	891	80
34336	126	815	58
34536	127	188	64
34719	128	150	32
34903	129	186	516
35153	130	259	201
35319	131	181	33
Duration	35401
