RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
2	1	306	270
368	2	515	199
568	3	591	177
719	4	199	46
1052	5	305	41
1235	6	475	22
1435	7	540	11
1619	8	388	24
1852	9	572	12
2085	10	757	10
2319	11	804	5
2502	12	720	31
2769	13	680	63
2986	14	127	237
3218	15	251	281
3402	16	119	79
3568	17	83	84
3752	18	209	75
3985	19	312	79
4285	20	400	77
4952	21	427	75
5285	22	223	85
5485	23	87	76
5752	24	264	70
5935	25	385	68
6218	26	442	74
6435	27	528	63
6668	28	619	58
6868	29	728	66
7135	30	617	170
7318	31	612	135
7552	32	697	126
7768	33	607	318
7918	34	600	284
8102	35	716	282
8318	36	879	129
8452	37	813	168
8535	38	810	121
8769	39	620	195
9035	40	587	442
9419	41	594	636
9585	42	575	571
9802	43	560	250
10002	44	584	174
10219	45	638	148
10485	46	593	146
10835	47	643	146
11269	48	823	115
11802	49	924	115
12435	50	920	136
12719	51	925	167
13185	52	928	206
13935	53	925	103
14202	54	847	109
14435	55	827	119
15068	56	934	116
15418	57	614	143
15618	58	560	143
15802	59	662	135
16035	60	875	114
16218	61	826	124
17752	62	921	117
18235	63	929	126
18652	64	826	128
18902	65	811	148
19585	66	978	720
19735	67		
Duration	19801
