RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
15	1	319	372
381	2	633	416
614	3	660	422
1098	4	95	552
1431	5	375	339
1598	6	409	227
1748	7	387	191
1931	8	494	195
2181	9	498	307
2564	10	514	358
2998	11	239	369
3514	12	512	369
4098	13	521	254
4298	14	475	449
4414	15	489	429
4564	16	492	415
4998	17	483	425
5431	18	477	202
5698	19	511	340
5998	20	325	369
6131	21	98	382
6214	22	103	396
6331	23	67	372
6731	24	57	317
7181	25	418	288
7348	26	75	281
7681	27	556	216
8131	28	96	176
8281	29	69	202
8598	30	89	419
8931	31	84	377
9197	32	74	314
9598	33	66	254
9964	34	512	229
Duration	10539
