x	y	t	id	label	task_id
374	513	0	7	M	0
421	265	200	7	M	2
420	304	400	7	M	0
785	252	600	7	M	0
830	220	800	7	M	0
184	225	1000	6	A	0
111	259	1200	6	A	2
83	383	1400	6	A	0
86	527	1600	6	A	0
82	665	1800	6	A	0
69	764	2000	6	A	0
82	866	2200	6	A	0
95	771	2400	6	A	0
76	563	2600	6	A	1
88	485	2800	6	A	0
86	433	3000	6	A	0
90	368	3200	6	A	0
89	325	3400	6	A	0
91	263	3600	6	A	2
100	222	3800	6	A	2
104	250	4000	6	A	2
96	233	4200	6	A	2
81	398	4400	6	A	0
84	456	4600	6	A	0
80	505	4800	6	A	0
83	572	5000	6	A	1
140	577	5200	6	A	0
267	578	5400	7	M	0
307	586	5600	7	M	0
326	162	5800	6	A	0
489	81	6000	5	L	2
563	73	6200	5	L	1
638	60	6400	5	L	1
572	95	6600	5	L	0
336	509	6800	7	M	0
276	565	7000	7	M	0
114	563	7200	6	A	1
91	575	7400	6	A	1
83	617	7600	6	A	0
88	682	7800	6	A	0
88	509	8000	6	A	0
74	592	8200	6	A	0
84	467	8400	6	A	0
83	604	8600	6	A	0
122	586	8800	6	A	0
247	593	9000	7	M	0
293	182	9200	7	M	0
259	614	9400	7	M	0
848	605	9600	7	M	0
903	614	9800	7	M	0
879	166	10000	7	M	0
872	77	10200	0	Z	0
836	63	10400	0	Z	0
873	67	10600	0	Z	0
854	158	10800	0	Z	0
845	179	11000	7	M	0
481	96	11200	5	L	0
467	171	11400	7	M	0
272	505	11600	7	M	0
202	107	11800	4	T	0
280	132	12000	6	A	0
267	72	12200	4	T	0
129	44	12400	4	T	0
87	39	12600	4	T	0
135	68	12800	4	T	1
155	26	13000	4	T	0
251	57	13200	4	T	0
221	66	13400	4	T	1
117	67	13600	4	T	1
250	66	13800	4	T	0
287	64	14000	4	T	0
353	70	14200	4	T	0
256	84	14400	4	T	0
140	61	14600	4	T	1
195	61	14800	4	T	1
156	97	15000	4	T	0
269	97	15200	4	T	0
319	98	15400	4	T	0
286	93	15600	4	T	0
153	74	15800	4	T	1
186	69	16000	4	T	1
145	70	16200	4	T	1
109	59	16400	4	T	1
302	70	16600	4	T	0
345	68	16800	4	T	0
384	62	17000	4	T	0
548	68	17200	5	L	1
315	63	17400	4	T	0
176	57	17600	4	T	1
330	136	17800	6	A	0
317	151	18000	6	A	0
267	629	18200	7	M	0
262	596	18400	7	M	0
83	612	18600	6	A	0
75	665	18800	6	A	0
87	520	19000	6	A	0
84	532	19200	6	A	0
75	482	19400	6	A	0
73	633	19600	6	A	0
81	599	19800	6	A	0
103	592	20000	6	A	0
255	597	20200	7	M	0
268	382	20400	7	M	0
298	174	20600	7	M	0
282	192	20800	7	M	0
330	473	21000	7	M	0
301	328	21200	7	M	0
381	132	21400	6	A	0
494	151	21600	6	A	0
857	147	21800	0	Z	0
208	964	22200	0	Z	0
273	940	22400	7	M	0
330	398	22600	7	M	0
