t	x	y
0	200	401
200	148	388
400	57	377
600	335	370
800	334	374
1000	358	65
1200	372	26
1400	230	41
1600	291	63
1800	334	71
2000	60	96
2200	33	98
2400	280	125
2600	371	141
2800	340	75
3000	363	93
3200	366	126
3400	396	97
3600	414	164
3800	192	137
4000	26	122
4200	34	165
4400	361	148
4600	407	155
4800	428	154
5000	363	128
5200	370	88
5400	352	134
5600	375	192
5800	381	222
6000	386	366
6200	399	536
6400	417	574
6600	426	667
6800	336	694
7000	284	694
7200	434	711
7400	393	627
7600	382	585
7800	362	177
8000	166	135
8200	349	114
8400	275	85
8600	369	78
8800	313	53
9000	261	52
9200	232	40
9400	87	44
9600	114	52
9800	42	49
10000	338	99
10200	413	128
10400	430	143
10600	384	97
10800	415	119
11000	437	134
11200	325	127
11400	83	130
11600	39	128
11800	44	172
12000	42	259
12200	42	341
12400	390	381
12600	409	393
12800	379	427
13000	406	624
13200	433	663
13400	406	873
13600	398	921
13800	413	940
14000	357	922
14200	351	900
14400	310	869
14600	312	362
14800	328	110
15000	276	100
15200	258	44
15400	235	39
15600	67	31
15800	43	27
16000	236	37
16200	365	127
16400	258	40
16600	224	44
16800	373	150
17000	375	263
17200	355	282
17400	387	256
17600	156	275
17800	161	296
18000	216	529
18200	333	705
18400	341	542
18600	365	810
18800	370	893
19000	301	904
19200	155	932
19400	333	916
19600	286	109
19800	258	54
20000	83	44
20200	33	40
20400	330	183
20600	231	39
20800	278	40
21000	228	30
21200	352	113
21400	363	145
21600	379	230
21800	365	351
22000	305	50
22200	266	40
22400	294	53
22600	364	130
22800	372	158
23000	347	86
23200	361	80
23400	378	156
23600	391	239
23800	383	361
24000	381	451
24200	381	512
24400	376	555
24600	369	584
24800	386	728
25000	384	822
25200	376	853
25400	336	171
25600	331	95
25800	265	43
26000	327	101
26200	364	133
26400	341	134
26600	361	75
26800	356	117
27000	374	159
27200	374	219
27400	372	103
27600	372	152
27800	209	154
28000	68	149
28200	34	143
28400	371	245
28600	384	228
28800	213	233
29000	59	219
29200	43	219
29400	375	266
29600	398	433
29800	398	465
30000	366	524
30200	373	586
30400	382	801
30600	396	908
30800	412	947
31000	386	457
31200	397	442
31400	405	160
31600	425	239
31800	413	90
32000	423	9
32600	350	495
32800	292	377
33000	182	50
33200	88	32
33400	386	156
33600	422	180
33800	374	200
34000	400	246
34200	382	587
34400	385	906
34600	403	929
34800	289	198
