t	x	y
0	251	346
200	158	159
400	68	101
600	258	33
800	85	31
1000	145	58
1200	199	120
1400	332	109
1600	308	97
1800	323	74
2000	466	86
2200	401	81
2400	448	139
2600	485	160
2800	420	233
3000	423	74
3200	428	263
3400	403	329
3600	414	361
3800	382	25
4000	292	19
4600	268	39
6000	285	24
6200	398	163
6400	284	115
6600	211	114
6800	371	277
7000	331	454
7200	200	445
7400	354	462
7600	184	407
7800	251	44
8000	318	42
8200	348	40
8400	398	156
8600	423	182
8800	373	88
9000	417	76
9200	422	167
9400	427	214
9600	401	215
9800	426	243
10000	428	169
10200	430	248
10400	313	50
10600	330	82
10800	335	108
11000	276	49
11200	347	45
11400	410	265
11600	429	244
11800	341	9
12000	351	39
12200	422	207
12400	432	251
12600	109	241
12800	70	249
13000	398	200
13200	399	163
13400	427	190
13600	424	251
13800	408	215
14000	77	204
14200	69	175
14400	447	152
14600	403	153
14800	69	179
15000	75	220
15200	65	283
15400	414	261
15600	409	330
15800	399	462
16000	389	520
16200	390	597
16400	392	764
16600	384	892
16800	396	859
17000	430	720
17200	411	174
17400	428	254
17600	424	162
17800	325	47
18000	346	46
18200	272	44
18400	432	196
18600	397	337
18800	396	298
19000	427	217
19200	434	184
19400	393	53
19600	427	86
19800	433	180
20000	97	194
20200	72	179
20400	186	218
20600	73	218
20800	412	211
21000	415	75
21200	436	244
21400	76	256
21600	409	384
21800	381	373
22000	395	345
22200	399	475
22400	391	493
22600	381	678
22800	399	864
23000	409	188
23200	112	156
23400	69	180
23600	60	248
23800	259	956
