t	x	y
0	193	314
200	161	312
400	179	292
600	176	113
800	261	110
1000	263	67
1200	243	60
1400	267	58
1600	253	80
1800	304	66
2000	314	78
2200	387	199
2400	280	86
2600	256	72
2800	278	86
3000	354	96
3200	384	108
3400	377	176
3600	381	201
3800	164	194
4000	48	184
4200	397	177
4400	386	208
4600	374	325
4800	385	560
5000	404	802
5200	401	817
5400	385	875
5600	315	907
5800	333	891
6000	180	360
6200	168	76
6400	116	77
6600	63	65
6800	174	192
7000	99	79
7200	171	207
7400	154	275
7600	413	247
7800	435	154
8000	391	193
8200	289	95
8400	289	69
8600	251	52
8800	269	63
9000	312	76
9200	380	218
9400	384	200
9600	127	201
9800	44	186
10000	51	192
10200	53	198
10400	46	206
