t	x	y
0	260	224
200	200	56
400	313	62
600	273	85
800	266	85
1000	272	51
1200	262	74
1400	306	75
1600	341	65
1800	317	68
2000	402	154
2200	223	125
2400	195	118
2600	378	139
2800	398	89
3000	389	159
3200	394	192
3400	392	180
3600	67	187
3800	54	163
4000	91	32
4200	148	35
4400	67	162
4600	67	160
4800	440	149
5000	413	153
5200	405	196
5400	417	185
5600	392	278
5800	405	225
6000	394	203
6200	399	197
6400	400	213
6600	72	15
6800	125	19
7000	79	36
7200	193	26
7400	62	15
7600	369	222
7800	426	187
8000	399	183
8200	71	197
8400	55	187
8600	53	279
8800	57	181
9000	57	216
9200	58	186
9400	401	213
9600	413	100
9800	413	73
10000	103	221
10200	52	230
10400	56	215
10600	55	171
10800	57	179
11000	415	194
11200	402	220
11400	406	311
11600	425	221
11800	423	246
12000	415	249
12200	402	205
12400	419	198
12600	443	221
12800	416	244
13000	30	228
13200	20	227
13400	26	189
13600	16	157
13800	15	170
14000	8	195
14200	2	222
14400	378	269
14600	387	394
14800	382	485
15000	381	566
15200	370	605
15400	375	587
15600	389	846
15800	374	301
16000	397	267
16200	379	213
16400	19	167
16600	18	201
16800	360	215
17000	382	225
17200	396	247
17400	393	275
17600	358	226
17800	362	191
18000	88	197
18200	2	178
18400	6	188
18600	129	210
18800	121	202
19000	364	204
19200	346	232
19400	392	249
19600	378	281
19800	385	279
20000	21	240
20200	114	227
20400	383	223
20600	356	225
20800	373	197
21000	95	201
21200	18	178
21400	19	198
21600	13	201
21800	17	173
22000	16	208
22200	19	225
22400	34	234
