t	x	y
0	115	174
200	137	176
400	81	68
600	62	53
800	57	89
1000	56	186
1200	328	190
1400	415	175
1600	425	102
1800	489	94
2000	440	167
2200	411	320
2400	400	326
2600	360	71
2800	327	111
3000	355	93
3200	340	104
3400	383	93
3600	393	147
3800	359	170
4000	453	189
4200	64	198
4400	126	82
4600	281	92
4800	310	130
5000	280	126
5200	285	86
5400	447	156
5600	431	74
5800	427	168
6000	445	190
6200	240	214
6400	380	230
6600	386	88
6800	405	280
7000	424	285
7200	365	296
7400	395	255
7600	374	138
7800	359	141
8000	302	102
8200	92	169
8400	373	133
8600	433	152
8800	294	117
9000	296	91
9200	334	93
9400	423	113
9600	387	90
9800	446	163
10000	140	172
10200	44	161
10400	51	182
10600	81	51
10800	53	57
11000	40	208
11200	55	193
11400	41	168
11600	43	193
11800	55	245
12000	57	166
12200	59	197
12400	55	218
12600	407	200
12800	440	187
13000	449	147
13200	448	198
13400	388	198
13600	415	104
13800	390	99
14000	414	214
14200	453	175
14400	449	182
14600	450	150
14800	469	118
15000	474	96
15200	448	351
15400	438	303
15600	436	212
15800	427	264
16000	428	310
16200	403	303
16400	89	302
16600	47	305
16800	42	212
17000	47	168
17200	44	212
17400	333	302
17600	410	293
17800	382	298
18000	405	338
18200	380	340
18400	377	317
18600	387	132
18800	391	101
19000	377	332
19200	393	358
19400	44	363
19600	62	173
19800	59	154
20000	57	215
20200	41	196
20400	57	162
20600	76	198
20800	58	245
21000	53	167
21200	70	265
21400	56	215
21600	51	250
21800	48	302
22000	346	275
22200	409	282
22400	444	294
22600	43	302
22800	46	351
23000	384	362
23200	410	369
23400	378	350
23600	355	393
23800	394	423
24000	429	431
24200	396	446
24400	417	442
24600	44	426
24800	395	434
25000	427	458
25200	398	487
25400	382	497
25600	403	500
25800	425	496
26000	431	453
26200	404	511
26400	382	504
26600	419	547
26800	426	472
27000	424	416
27200	439	294
27400	454	173
27600	432	294
27800	451	287
28000	452	557
28200	425	662
28400	421	709
28600	432	785
28800	416	681
29000	413	716
29200	418	676
29400	415	730
29600	413	785
29800	426	820
30000	422	783
30200	418	740
30400	427	942
30600	417	968
30800	74	934
31000	26	940
31200	45	966
31400	129	578
31600	65	100
31800	136	87
32000	352	68
32200	446	36
32400	261	83
32600	74	90
32800	114	90
33000	436	303
33200	435	179
33400	81	258
33600	46	287
33800	394	144
34000	434	113
34200	388	116
34400	393	171
34600	389	126
34800	393	228
35000	376	213
35200	392	108
35400	396	186
35600	392	252
35800	426	230
36000	62	316
36200	41	565
36400	36	652
36600	55	789
36800	367	740
37000	360	666
37200	388	676
37400	419	683
37600	430	649
37800	441	257
38000	453	194
38200	431	162
38400	449	144
38600	428	116
38800	445	183
39000	420	326
39200	432	301
39400	438	173
39600	62	170
39800	46	158
40000	48	199
40200	159	189
40400	65	199
40600	404	232
40800	442	229
41000	425	302
41200	84	298
41400	45	305
41600	410	304
41800	449	298
42000	428	432
42200	68	429
42400	46	446
42600	427	428
42800	430	521
43000	417	594
43200	406	634
43400	422	676
43600	416	654
43800	416	627
44000	420	712
44200	421	687
44400	417	732
44600	131	724
44800	40	728
45000	410	719
45200	149	721
45400	84	724
45600	43	721
45800	396	716
46000	419	726
46200	420	793
46400	43	782
46600	48	754
46800	39	718
47000	406	816
47200	403	891
47400	421	962
47600	38	958
47800	278	716
48000	419	717
48200	412	976
48400	436	973
48600	256	119
48800	153	112
49000	127	82
49200	281	69
49400	256	75
49600	322	71
49800	363	157
50000	172	155
50200	195	111
50400	131	93
50600	110	80
50800	59	81
51000	123	72
51200	252	72
51400	313	86
51600	255	80
51800	242	60
52000	273	55
52200	53	67
52400	182	81
52600	264	81
52800	331	179
53000	381	179
53200	243	72
53400	259	58
53600	445	213
53800	408	208
54000	375	228
54200	390	275
54400	373	236
54600	406	232
54800	445	195
55000	177	173
55200	255	139
55400	244	103
55600	255	80
55800	317	75
56000	359	209
56200	393	237
56400	396	201
56600	398	123
56800	384	220
57000	390	290
57200	368	480
57400	377	519
57600	354	716
57800	346	619
58000	354	895
58200	347	853
58400	358	832
58600	359	578
58800	356	594
59000	368	574
59200	369	496
59400	363	447
59600	363	336
59800	385	279
60000	390	203
60200	160	201
60400	141	211
60600	42	209
60800	389	199
61000	380	278
61200	380	236
61400	399	205
61600	383	221
61800	397	199
62000	384	186
62200	391	209
62400	296	212
62600	123	219
62800	40	212
63000	291	64
63200	247	66
63400	271	47
63600	385	230
63800	389	212
64000	368	259
64200	386	250
64400	391	194
64600	436	196
64800	391	207
65000	391	213
65200	392	87
65400	395	213
65600	50	212
65800	352	239
66000	382	234
66200	406	260
66400	404	280
66600	155	278
66800	38	278
67000	392	269
67200	371	232
67400	370	164
67600	375	231
67800	354	237
68000	148	236
68200	193	234
68400	375	221
68600	369	107
68800	381	230
69000	75	218
69200	39	229
69400	32	202
69600	20	233
69800	372	229
70000	382	201
70200	362	173
70400	392	274
70600	377	301
70800	346	324
71000	401	303
71200	378	243
71400	372	100
71600	387	232
71800	388	260
72000	349	241
72200	90	243
72400	49	256
72600	394	259
72800	399	272
73000	342	314
73200	362	311
73400	382	343
73600	407	266
73800	389	288
74000	109	277
74200	55	277
74400	363	304
74600	381	348
74800	369	410
75000	378	499
75200	365	593
75400	372	624
75600	351	668
75800	343	838
76000	366	839
76200	364	927
76400	364	916
76600	370	914
76800	250	419
77000	104	352
77200	312	584
77400	221	552
