t	x	y
0	398	617
200	340	481
400	107	510
600	106	264
800	160	239
1000	176	198
1200	259	84
1400	326	66
1600	372	178
1800	289	67
2000	259	48
2200	205	207
2400	271	47
2600	280	68
2800	281	39
3000	262	46
3200	334	64
3400	216	39
3600	87	38
3800	79	65
4000	139	65
4400	383	248
4600	388	203
4800	390	124
5000	389	199
5200	300	93
5400	308	123
5600	299	62
5800	263	68
6000	270	57
6200	329	51
6400	401	189
6600	454	184
6800	444	182
7000	427	67
7200	396	79
7400	403	234
7600	405	201
7800	422	174
8000	441	109
8200	442	188
8400	393	234
8600	422	68
8800	396	76
9000	388	213
9200	394	194
9400	419	180
9600	340	70
9800	281	96
10000	330	42
10200	334	45
10400	187	47
10600	261	39
10800	298	20
11000	298	38
11200	271	44
11400	290	27
11600	295	6
11800	319	52
12000	392	214
12200	377	180
12400	213	172
12600	189	164
12800	175	246
13000	446	163
13200	141	63
13400	77	46
13600	109	49
13800	135	58
14000	153	64
14200	443	175
14400	416	190
14600	396	207
14800	383	146
15000	400	81
15200	396	180
15400	387	178
15600	385	152
15800	135	201
16000	89	217
16200	62	197
16400	57	196
16600	75	193
16800	424	150
17000	393	207
17200	396	262
17400	374	311
17600	365	283
17800	204	255
18000	404	254
18200	396	280
18400	410	269
18600	404	223
18800	402	251
19000	388	221
19200	394	122
19400	404	78
19600	395	229
19800	329	82
20000	303	66
20200	315	127
20400	346	53
20600	408	178
20800	461	182
21000	451	137
21200	412	162
21400	409	82
21600	398	195
21800	403	210
22000	391	318
22200	397	215
22400	387	85
22600	406	83
22800	389	351
23000	382	324
23200	386	499
23400	370	572
23600	375	618
23800	368	629
24000	374	753
24200	374	853
24400	384	848
24600	381	905
24800	369	884
25000	368	602
25200	374	487
25400	383	322
25600	388	339
25800	398	209
26000	404	252
26200	408	198
26400	392	183
26600	400	60
26800	133	220
27000	78	204
27200	76	232
27400	386	221
27600	404	257
27800	396	280
28000	386	233
28200	120	273
28400	66	273
28600	396	253
28800	405	291
29000	409	215
29200	430	211
29400	407	230
29600	403	293
29800	407	267
30000	75	285
30200	69	255
30400	61	208
30600	64	233
30800	69	281
31000	81	64
31200	334	539
31400	382	271
31600	398	464
31800	373	510
32000	376	602
32200	349	93
32400	283	60
32600	323	66
