t	x	y
0	94	346
200	35	337
400	184	329
600	199	75
800	195	51
1000	288	51
1200	336	92
1400	462	77
1600	488	128
1800	476	81
2000	423	69
2200	407	128
2400	416	155
2600	185	157
2800	49	157
3000	436	162
3200	403	167
3400	416	57
3600	408	166
3800	373	194
4000	423	189
4200	404	192
4400	415	234
4600	196	220
4800	76	227
5000	187	234
5200	132	232
5400	147	73
5600	128	43
5800	68	48
6000	155	95
6200	148	71
6400	135	105
6600	116	108
6800	147	714
7000	112	707
7200	107	726
7400	203	96
7600	140	679
7800	152	704
8000	172	713
8200	33	747
8400	34	741
8600	36	755
8800	145	742
9000	147	954
9200	91	948
9400	32	973
9800	22	991
10000	240	976
10200	451	973
10400	421	110
10600	461	68
10800	453	955
11000	454	975
11200	430	940
11400	443	950
11600	354	990
11800	380	999
12200	372	995
12400	416	998
12800	409	988
13000	432	996
13200	451	988
13400	412	925
13600	415	364
13800	425	95
14000	457	22
14600	269	26
14800	99	32
15000	127	45
15200	395	142
15400	465	167
15600	429	496
15800	440	644
16000	465	61
16200	409	65
16400	401	167
16600	407	397
16800	385	341
17000	375	365
17200	396	326
17400	401	294
17600	390	608
17800	391	573
18000	400	145
18200	413	68
18400	396	154
18600	404	216
18800	408	207
19000	391	316
19200	375	347
19400	390	306
19600	360	442
19800	384	428
20000	388	593
20200	383	726
20400	340	656
20600	301	651
20800	282	634
21000	428	647
21200	388	735
21400	376	884
21600	389	574
21800	392	421
22000	376	361
22200	173	357
22400	62	359
22600	45	360
22800	342	385
23000	368	368
23200	397	334
23400	389	283
23600	410	248
23800	443	252
24000	420	228
24200	397	198
24400	362	89
24600	283	52
24800	237	28
25000	101	26
25200	68	42
25400	385	447
25600	369	348
25800	35	358
26000	370	352
26200	383	318
26400	394	284
26600	409	150
26800	403	198
27000	418	237
27200	462	100
27400	395	561
27600	422	497
27800	390	571
28000	407	683
28200	386	736
28400	387	866
28600	369	901
28800	300	903
29000	101	921
29200	23	919
29400	317	904
29600	371	908
29800	456	963
