t	x	y
0	147	185
200	186	235
400	141	38
600	292	35
1000	454	75
1200	404	87
1400	401	30
1600	406	149
1800	381	595
2000	382	574
2200	389	357
2400	402	333
2600	396	231
2800	410	216
3000	421	105
3200	422	34
3400	405	94
3600	86	153
3800	54	142
4400	404	91
4600	68	136
4800	417	129
5400	224	17
6200	364	165
6400	393	557
6600	372	566
6800	383	449
7000	364	41
7200	375	175
7400	369	9
7600	346	23
7800	361	197
8000	358	180
8200	360	198
8400	17	161
8600	15	111
8800	18	162
9000	325	231
9200	382	240
9400	35	235
9600	359	325
9800	377	254
10000	373	451
10200	368	488
10400	46	477
10600	369	483
10800	368	566
11000	370	575
11200	51	570
11400	368	574
11600	366	730
11800	374	878
12000	372	842
12200	326	915
12400	304	551
12600	369	136
12800	39	87
13000	12	100
13200	13	148
13400	13	109
14400	38	135
14600	18	129
14800	23	173
15000	11	119
15200	364	199
15400	75	178
15600	30	141
15800	28	177
16000	23	209
16200	15	158
16400	2	120
16600	15	192
16800	30	217
