t	x	y
0	133	350
200	247	380
400	202	403
600	304	138
800	313	80
1000	306	117
1200	333	67
1400	435	125
1600	414	146
1800	505	137
2000	329	101
2200	386	193
2400	409	150
2600	318	82
2800	196	41
3000	102	10
3200	309	54
3400	395	530
3600	369	534
3800	313	83
4000	133	132
4200	87	139
4400	376	151
4600	427	139
4800	394	61
5000	431	78
5200	440	144
5400	433	175
5600	431	203
5800	420	173
6000	114	164
6200	80	165
6400	458	170
6600	490	161
6800	450	175
7000	444	93
7200	497	151
7400	448	178
7600	431	202
7800	147	198
8000	90	196
8200	461	250
8400	442	242
8600	436	483
8800	423	461
9000	425	865
9200	420	757
9400	424	562
9600	414	589
9800	428	501
10000	412	475
10200	403	581
10400	430	285
10600	435	239
10800	418	216
11000	448	162
11200	426	177
11400	129	167
11600	409	204
11800	426	204
12000	106	166
12200	81	165
12400	79	186
12600	446	247
12800	104	249
13000	77	237
13200	432	246
13400	393	282
13600	371	235
13800	370	187
14000	374	200
14200	31	224
14400	2	193
15000	340	249
15200	375	251
15400	272	60
15600	217	56
15800	377	240
16000	343	214
16200	375	182
16400	294	104
16600	229	62
16800	206	61
17000	138	143
17200	367	164
17400	427	155
17600	255	67
17800	226	62
18000	261	90
18200	275	115
18400	81	54
18600	5	57
18800	7	34
19000	209	37
19200	232	44
19400	283	53
19600	383	287
19800	373	197
20000	359	232
20200	269	57
20400	209	56
20600	231	56
20800	367	215
21000	373	181
21200	355	89
21400	334	106
21600	364	245
21800	373	178
22000	73	185
22200	12	181
22400	0	228
22600	339	260
23000	6	240
23200	351	262
