t	x	y
0	115	384
200	176	383
400	348	271
600	181	223
800	175	83
1000	277	39
1200	241	39
1400	306	34
1600	212	23
1800	210	40
2000	214	48
2200	234	29
2400	360	158
2600	385	185
2800	357	115
3000	358	172
3200	375	187
3400	142	55
3600	76	51
3800	23	40
4000	86	62
4200	31	40
4400	122	143
4600	46	12
4800	218	45
5000	229	45
5200	229	43
5400	384	182
5600	351	152
5800	342	159
6000	371	112
6200	180	153
6400	78	176
6600	22	180
6800	392	201
7000	376	380
7200	386	454
7400	376	464
7600	381	560
7800	411	774
8000	420	829
8200	159	172
8400	129	165
8600	139	193
8800	123	176
9000	17	52
9200	96	49
9400	388	189
9600	101	48
9800	389	172
10000	437	178
10200	389	186
10400	88	163
10600	22	176
10800	41	168
11000	393	19
11200	270	51
11400	287	59
11600	362	177
11800	27	184
12000	31	187
12200	32	176
12400	36	181
12600	37	226
12800	12	178
