t	x	y
0	81	218
200	147	239
400	209	66
600	274	67
800	39	123
1000	255	96
1200	294	93
1400	256	123
1600	320	79
1800	301	84
2000	421	124
2200	387	137
2400	347	162
2600	160	137
2800	190	52
3000	62	46
3200	274	53
3400	254	59
3600	275	62
3800	322	64
4000	243	40
4200	86	63
4400	52	57
4600	126	57
4800	297	86
5000	329	56
5200	250	60
5400	288	40
5600	319	60
5800	167	155
6000	422	172
6200	396	172
6400	21	178
6600	53	171
6800	371	61
7000	401	83
7200	409	184
7400	49	173
7600	392	191
7800	415	270
8000	409	242
8200	398	373
8400	419	242
8600	415	185
8800	400	477
9000	399	580
9200	391	540
9400	387	450
9600	389	474
9800	360	868
10000	362	871
10200	414	306
10400	412	153
10600	395	176
10800	34	187
11000	44	170
11200	38	192
11400	67	172
11600	388	204
11800	475	176
12000	264	82
12200	59	54
12400	386	166
12600	179	143
