x	y	t	id	label	task_id
189	38	0	4	T	0
394	151	200	5	L	0
372	167	400	5	L	1
510	157	600	5	L	0
348	151	800	5	L	0
609	234	1000	7	M	0
757	209	1200	7	M	0
475	592	1400	6	A	1
477	589	1600	6	A	1
437	387	1800	7	M	0
455	318	2000	7	M	0
479	328	2200	7	M	0
416	197	2400	5	L	0
378	182	2600	5	L	1
459	300	2800	7	M	0
468	307	3000	7	M	0
305	292	3200	7	M	0
33	286	3400	6	A	1
69	309	3600	6	A	0
480	299	3800	7	M	0
481	308	4000	7	M	0
516	317	4200	7	M	0
497	325	4400	7	M	1
637	315	4600	7	M	0
491	295	4800	7	M	0
90	271	5000	7	M	0
495	318	5200	7	M	1
504	291	5400	7	M	0
498	321	5600	7	M	1
503	318	5800	7	M	1
501	326	6000	7	M	1
498	343	6200	7	M	0
507	326	6400	7	M	0
76	318	6600	7	M	0
70	255	6800	6	A	0
466	163	7000	5	L	0
420	167	7200	5	L	1
454	170	7400	5	L	1
