x	y	t	id	label	task_id
433	452	0	7	M	0
241	420	200	6	A	0
763	357	400	7	M	0
924	337	600	7	M	0
768	119	800	6	A	0
773	868	1000	7	M	0
812	925	1200	7	M	0
659	60	1400	0	Z	0
490	96	1600	6	A	0
215	140	1800	6	A	0
249	61	2000	4	T	0
368	126	2200	6	A	0
218	226	2400	6	A	0
991	233	2600	0	Z	0
916	257	2800	7	M	0
885	816	3000	7	M	0
771	919	3200	7	M	0
809	927	3400	7	M	0
749	924	3600	7	M	0
799	934	3800	7	M	0
888	933	4000	7	M	0
150	977	4400	0	Z	0
218	157	4600	6	A	0
220	48	4800	4	T	0
195	56	5000	4	T	2
95	59	5200	4	T	1
72	55	5400	4	T	2
399	178	5600	6	A	0
792	168	5800	7	M	2
835	147	6000	6	A	0
762	152	6200	0	Z	0
138	161	6400	6	A	2
96	148	6600	6	A	0
874	160	6800	7	M	0
313	89	7000	4	T	0
168	64	7200	4	T	2
811	869	7400	7	M	0
802	905	7600	7	M	0
744	909	7800	7	M	0
839	135	8000	6	A	0
240	100	8200	0	Z	0
159	44	8400	4	T	0
77	29	8600	4	T	0
147	65	8800	4	T	1
217	71	9000	4	T	2
215	79	9200	4	T	2
858	165	9400	7	M	0
901	166	9600	7	M	0
308	80	9800	4	T	0
217	64	10000	4	T	2
327	190	10200	6	A	0
165	176	10400	6	A	2
109	180	10600	6	A	2
700	163	10800	7	M	0
773	150	11000	6	A	0
781	152	11200	0	Z	0
193	178	11400	6	A	2
96	169	11600	6	A	2
339	175	11800	6	A	3
147	168	12000	6	A	2
93	176	12200	6	A	2
164	165	12400	6	A	2
245	170	12600	6	A	2
733	208	12800	7	M	0
889	160	13000	7	M	0
794	133	13200	6	A	2
773	159	13400	7	M	0
176	211	13600	6	A	0
103	205	13800	6	A	2
195	583	14000	6	A	0
300	653	14200	6	A	0
265	949	14400	0	Z	0
855	833	14600	7	M	0
891	849	14800	7	M	0
895	831	15000	7	M	0
237	934	15200	6	A	0
192	975	15400	0	Z	0
143	975	15600	0	Z	0
145	92	15800	4	T	0
146	59	16000	4	T	1
141	91	16200	4	T	0
222	173	16400	6	A	2
316	167	16600	6	A	2
349	166	16800	6	A	0
307	160	17000	6	A	2
245	159	17200	6	A	2
292	161	17400	6	A	2
354	169	17600	6	A	0
139	191	17800	6	A	0
216	173	18000	6	A	2
144	188	18200	6	A	0
214	245	18400	6	A	0
112	195	18600	6	A	0
164	169	18800	6	A	2
221	164	19000	6	A	2
278	166	19200	6	A	2
155	161	19400	6	A	2
95	193	19600	6	A	0
107	247	19800	6	A	0
77	203	20000	6	A	2
78	166	20200	6	A	2
130	165	20400	6	A	2
190	164	20600	6	A	2
240	169	20800	6	A	2
322	167	21000	6	A	2
232	165	21200	6	A	2
262	168	21400	6	A	2
843	140	21600	6	A	0
905	157	21800	7	M	0
859	135	22000	6	A	0
896	175	22200	7	M	0
898	247	22400	7	M	0
725	204	22600	7	M	0
