x	y	t	id	label	task_id
446	465	0	7	M	0
410	430	200	7	M	2
424	466	400	7	M	0
228	282	600	7	M	0
169	309	800	7	M	0
162	332	1000	7	M	0
154	321	1200	7	M	0
327	280	1400	7	M	0
357	275	1600	7	M	0
233	204	1800	7	M	0
57	178	2000	7	M	0
98	129	2200	7	M	0
157	140	2400	7	M	0
107	56	2600	4	T	0
133	712	2800	7	M	0
402	881	3000	6	A	1
424	873	3200	6	A	0
377	872	3400	6	A	0
418	860	3600	6	A	0
398	855	3800	6	A	0
541	853	4000	6	A	0
399	855	4200	6	A	0
371	325	4400	7	M	2
378	343	4600	7	M	2
361	312	4800	7	M	2
345	282	5000	7	M	0
287	183	5200	7	M	1
170	281	5400	7	M	0
172	311	5600	7	M	0
167	337	5800	7	M	0
354	272	6000	7	M	0
336	287	6200	7	M	0
353	274	6400	7	M	0
329	288	6600	7	M	0
344	298	6800	7	M	0
131	134	7000	7	M	0
330	265	7200	7	M	1
168	143	7400	7	M	0
166	142	7600	7	M	0
163	311	7800	7	M	0
159	355	8000	7	M	0
168	334	8200	7	M	0
346	282	8400	7	M	0
436	490	8600	7	M	0
345	298	8800	7	M	0
