x	y	t	id	label	task_id
232	284	0	7	M	0
115	300	200	7	M	0
319	255	400	7	M	1
406	424	600	7	M	2
301	231	800	7	M	0
95	42	1000	4	T	0
65	28	1200	4	T	0
45	32	1400	4	T	0
357	34	1600	4	T	3
33	249	1800	6	A	0
14	199	2000	6	A	0
52	98	2200	0	Z	3
145	98	2400	0	Z	3
281	854	2600	6	A	0
338	905	2800	6	A	0
374	886	3000	6	A	1
373	406	3200	7	M	2
318	248	3400	7	M	1
419	437	3600	7	M	2
310	219	3800	7	M	1
207	39	4000	4	T	3
81	45	4200	4	T	0
141	45	4400	4	T	0
190	45	4600	4	T	3
299	46	4800	4	T	3
262	47	5000	4	T	3
343	45	5200	4	T	3
310	238	5400	7	M	1
297	247	5600	7	M	1
23	200	5800	6	A	0
11	107	6000	6	A	3
315	256	6200	7	M	1
254	237	6400	7	M	0
