x	y	t	id	label	task_id
385	384	0	7	M	0
389	523	200	6	A	0
678	523	400	6	A	0
735	527	600	6	A	0
900	487	800	6	A	1
876	518	1000	6	A	1
769	523	1200	6	A	0
778	486	1400	6	A	1
807	490	1600	6	A	1
789	235	1800	7	M	0
907	226	2000	7	M	0
797	230	2200	7	M	0
772	481	2400	6	A	1
806	488	2600	6	A	1
811	240	2800	7	M	0
872	229	3000	7	M	0
925	257	3200	7	M	0
852	294	3400	7	M	0
493	365	3600	7	M	0
336	387	3800	7	M	0
408	381	4000	7	M	0
380	388	4200	7	M	0
444	379	4400	7	M	0
337	225	4600	7	M	0
313	208	4800	7	M	0
362	202	5000	7	M	0
759	223	5200	7	M	0
798	228	5400	7	M	0
922	228	5600	7	M	0
774	225	5800	7	M	0
476	494	6000	6	A	0
325	528	6200	6	A	0
423	557	6400	0	Z	0
748	527	6600	6	A	0
789	240	6800	7	M	0
