t	x	y
0	157	324
200	289	428
400	173	458
600	193	453
800	241	175
1000	312	117
1200	340	95
1400	309	90
1600	352	84
1800	255	135
2000	221	146
2200	228	204
2400	224	538
2600	178	946
2800	195	946
3000	200	887
3200	67	926
3400	45	931
3600	170	922
3800	188	910
4000	202	220
4200	177	132
4400	220	127
4600	202	418
4800	182	419
5000	136	416
5200	134	425
5400	201	458
5600	175	422
5800	205	168
6000	154	124
6200	135	93
6400	79	86
6600	164	308
6800	173	382
7000	167	378
7200	173	358
7400	171	343
7600	171	422
7800	177	408
8000	127	402
8200	210	197
8400	185	142
8600	181	308
8800	161	554
9000	168	582
9200	158	559
9400	195	312
9600	190	339
9800	177	411
10000	166	444
10200	168	614
10400	167	574
10600	153	788
10800	148	744
11000	155	757
11200	164	758
11400	69	764
11600	52	767
11800	78	643
12000	158	550
12200	50	562
12400	52	559
12600	189	569
12800	152	565
13000	193	201
13200	163	134
13400	159	148
13600	201	138
13800	165	149
14000	169	495
14200	150	481
14400	146	462
14600	174	476
14800	167	431
15000	138	444
15200	137	440
15400	153	636
15600	145	879
15800	158	896
16000	151	916
16200	161	794
16400	146	932
16600	148	889
16800	158	890
17000	189	920
17200	253	191
17400	284	88
17600	267	87
17800	153	877
18000	165	852
18200	156	901
18400	52	883
18600	131	902
18800	172	921
19000	160	759
19200	153	826
19400	150	794
19600	168	353
19800	156	412
20000	161	356
20200	155	368
20400	124	379
20600	64	381
20800	55	375
21000	79	920
21200	38	922
21400	48	888
21600	117	907
21800	157	890
22000	133	415
22200	161	380
22400	166	327
22600	158	536
22800	153	459
23000	149	431
23200	148	562
23400	156	600
23600	150	598
23800	151	587
24000	154	611
24200	142	623
24400	32	608
24600	50	617
24800	53	621
