t	x	y
0	185	421
200	133	423
400	37	419
600	22	399
800	63	86
1000	65	42
1200	46	13
1600	156	120
1800	90	139
2000	45	50
2200	94	60
2400	232	25
2600	146	141
2800	258	48
3000	228	41
3200	242	29
3400	225	37
3600	125	159
3800	95	115
4000	102	335
4200	107	459
4400	107	605
4600	112	749
4800	105	832
5000	114	893
5200	105	934
5400	101	794
5600	105	667
5800	102	545
6000	104	425
6200	104	370
6400	107	301
6600	109	246
6800	109	118
7000	108	470
7200	110	688
7400	119	944
7600	110	834
7800	109	811
8000	117	630
8200	119	459
8400	104	406
8600	114	353
8800	111	109
9000	33	121
9200	48	165
9400	26	118
9600	23	127
