t	x	y
0	33	523
400	152	531
600	21	555
800	29	567
1000	131	612
1200	101	601
1400	90	66
1600	92	83
1800	250	90
2000	232	81
2200	358	372
2400	357	374
2600	348	84
2800	360	84
3000	420	85
3200	26	150
3400	25	160
3600	143	165
3800	138	178
4000	99	167
4200	110	163
4400	114	505
4600	108	946
4800	104	995
5000	114	420
5200	110	387
5400	122	378
5600	143	372
5800	150	383
6000	167	787
6200	147	781
6400	162	803
6600	115	139
6800	86	150
7000	108	123
7200	223	143
7400	260	146
7600	283	157
7800	422	62
8000	428	73
8200	403	232
8400	429	226
8600	403	130
8800	417	225
9000	427	232
9200	420	187
9400	416	160
9600	405	875
9800	444	968
10000	296	945
10200	152	983
10400	113	978
10600	132	878
10800	85	600
11000	33	650
11200	135	623
11400	158	662
11600	165	644
11800	128	467
12000	130	411
12200	113	390
12400	110	348
12600	120	251
12800	117	185
13000	115	181
13200	16	181
13400	124	176
13600	153	187
13800	146	178
14000	129	357
14200	129	391
14400	120	372
14600	147	390
14800	122	349
15000	183	441
15200	150	388
15400	143	363
15600	143	365
15800	133	399
16000	150	374
16200	156	332
16400	148	318
16600	159	376
16800	158	355
17000	142	445
17200	151	418
17400	138	385
17600	141	430
17800	146	592
18000	132	570
18200	111	567
18400	29	565
18600	29	549
18800	140	580
19000	146	620
19200	150	575
19400	163	576
19600	172	548
19800	137	598
20000	171	610
20200	103	588
20400	122	41
20600	33	54
20800	41	70
21000	93	74
21200	242	97
21400	238	77
21600	293	80
21800	143	579
22000	210	107
22200	228	90
22400	220	66
22600	238	78
22800	150	467
23000	171	485
23200	137	303
23400	161	958
23600	145	855
23800	136	805
24000	143	823
24200	178	836
24400	137	827
24600	119	825
24800	139	778
25000	147	793
25200	148	760
25400	140	991
25600	120	954
25800	129	775
26000	129	526
26200	119	504
26400	124	300
26600	118	165
26800	116	146
27000	85	133
27200	16	118
27400	100	127
27600	122	117
27800	143	489
28000	134	427
28200	135	380
28400	126	357
28600	123	324
28800	127	672
29000	132	582
29200	9	154
29400	19	117
29600	18	121
29800	136	829
30000	132	986
30200	142	964
30400	126	699
30600	134	652
30800	398	763
31000	155	128
31200	128	132
31400	174	156
31600	114	152
32200	154	155
32400	178	109
32600	177	173
32800	183	127
33000	168	573
33200	161	95
33400	174	132
33600	158	643
33800	164	647
34000	100	943
34200	70	970
34400	210	216
34600	220	128
34800	196	451
35000	170	440
35200	179	374
35400	182	152
35600	172	134
35800	97	137
36000	86	149
