t	x	y
0	75	626
200	326	626
400	381	606
600	429	91
800	417	55
1000	280	81
1200	300	95
1400	168	132
1600	187	148
1800	151	433
2000	80	172
2200	52	173
2400	51	140
2600	94	79
2800	127	85
3000	280	109
3200	207	138
3400	178	635
3600	157	657
3800	186	674
4000	233	157
4200	227	125
4400	198	114
4600	160	119
4800	152	160
5000	167	342
5200	128	493
5400	115	853
5600	129	875
5800	138	952
6000	141	627
6200	146	496
6400	149	387
6600	151	469
6800	153	412
7000	172	117
7200	159	139
7400	116	156
7600	57	146
7800	135	89
8000	274	81
8200	243	170
8400	192	174
8600	175	334
8800	169	472
9000	170	758
9200	158	888
9400	153	858
9600	173	935
9800	309	898
10000	165	147
10200	208	118
10400	240	141
10600	302	132
10800	235	140
11000	197	148
11200	220	105
11400	265	106
11600	250	143
11800	192	164
12000	387	171
12200	190	247
12400	190	205
12600	186	174
12800	198	222
13000	185	259
13200	177	320
13400	169	301
13600	70	265
13800	59	247
14000	55	228
14200	59	243
14400	57	278
14600	73	298
14800	177	312
15000	173	389
15200	165	494
15400	155	590
15600	159	814
15800	165	786
16000	163	939
16200	160	884
16400	161	842
16600	349	823
16800	210	280
17000	55	295
17200	428	213
17400	414	222
17600	322	133
17800	265	140
18000	459	977
