t	x	y
0	69	296
200	136	347
400	148	369
600	146	388
800	137	419
1000	17	398
1200	93	102
1400	187	125
1600	34	68
1800	99	44
2000	78	113
2200	46	119
2400	146	117
2600	166	151
2800	169	875
3000	140	923
3200	145	141
3400	164	113
3600	117	58
3800	38	114
4000	179	132
4200	108	353
4400	109	448
4600	111	288
4800	71	123
5000	60	86
5200	173	371
5400	175	363
5600	177	383
5800	150	423
6000	171	468
6200	156	571
6400	163	589
6600	168	713
6800	160	763
7000	170	794
7200	145	752
7400	181	842
7600	175	879
7800	166	826
8000	162	845
8200	186	58
8400	133	97
8600	62	99
8800	66	93
9000	67	121
9200	62	102
9400	65	130
9600	52	120
9800	78	141
10000	45	145
10200	68	133
10400	70	152
10600	432	106
10800	300	48
11000	268	57
11200	88	104
11400	323	71
11600	304	110
11800	276	67
12000	284	54
12200	298	74
12400	273	46
12600	272	36
12800	261	46
13000	257	21
13200	260	38
13400	296	24
13600	72	29
13800	76	40
14000	57	31
14200	95	32
14400	81	63
14600	73	76
14800	149	142
15000	151	126
15200	219	134
15400	194	139
15600	58	124
15800	62	124
16000	82	57
16200	69	26
16400	48	167
16600	53	141
16800	60	126
