t	x	y
0	252	450
200	167	429
400	205	476
600	157	132
800	131	145
1000	71	76
1200	54	76
1400	128	154
1600	221	146
1800	242	150
2000	161	124
2200	186	149
2400	159	125
2600	264	75
2800	274	84
3000	280	85
3200	324	104
3400	330	117
3600	269	101
3800	246	185
4000	253	154
4200	200	166
4400	191	166
4600	187	213
4800	178	240
5000	187	253
5200	159	285
5400	182	313
5600	77	304
5800	182	344
6000	160	403
6200	182	425
6400	194	428
6600	177	453
6800	182	532
7000	173	626
7200	204	674
7400	188	769
7600	197	789
7800	180	865
8000	173	904
8200	218	915
8400	195	821
8600	184	796
8800	78	787
9000	99	796
9200	222	804
9400	194	774
9600	184	775
9800	183	699
10000	197	717
10200	193	640
10400	187	661
10600	180	607
10800	182	595
11000	181	589
11200	189	558
11400	172	553
11600	63	536
11800	193	565
12000	173	553
12200	202	558
12400	142	550
12600	176	556
12800	398	620
13000	191	294
13200	165	317
13400	172	251
13600	175	193
13800	182	148
14000	180	392
14200	196	415
14400	170	548
14600	188	556
14800	128	554
15000	139	563
15200	165	594
15400	147	563
15600	165	625
15800	73	633
16000	149	683
16200	196	693
16400	184	755
16600	178	767
16800	88	796
17000	83	791
17200	182	784
17400	181	819
17600	184	912
17800	456	360
18000	383	371
18200	355	343
18400	202	401
18600	343	436
18800	286	132
19000	301	147
19200	246	158
19400	264	99
19600	324	99
19800	254	149
20000	197	148
20200	162	165
20400	360	222
20600	372	244
20800	193	279
21000	202	331
21200	144	343
21400	188	176
21600	187	154
21800	202	625
