t	x	y
0	226	139
200	200	129
400	12	102
800	19	82
1000	26	57
1200	97	68
1400	141	70
1600	208	90
1800	163	147
2000	49	179
2200	82	166
2400	130	176
2600	141	194
2800	182	157
3000	177	108
3200	217	51
3400	203	91
3600	201	92
3800	222	82
4000	16	92
4200	25	99
4400	73	124
4600	83	161
4800	120	212
5000	124	241
5200	218	115
5400	208	105
5600	114	217
5800	106	175
6000	88	170
6200	101	174
6400	90	154
6600	103	387
6800	112	371
7000	128	516
7200	126	668
7400	131	817
7600	133	915
7800	136	980
8000	116	740
8200	134	712
8400	135	655
8600	129	603
8800	291	565
9000	119	568
9200	118	529
9400	124	465
9600	113	420
9800	118	381
10000	120	269
10200	107	206
10400	106	166
10600	77	169
10800	107	146
11200	9	170
11400	19	183
11600	113	180
11800	115	153
12000	98	170
12200	104	222
12400	115	402
12600	115	400
12800	20	392
13000	3	371
13200	19	393
13400	335	390
13600	356	398
13800	313	399
14000	330	412
14200	136	207
14400	153	223
14600	143	229
14800	137	394
15000	164	117
15200	145	77
15400	59	66
15600	371	75
15800	425	75
16000	153	144
16200	48	71
16400	89	73
16600	144	76
16800	151	70
17000	23	107
17200	30	100
17400	54	102
17600	103	117
17800	197	82
18000	126	187
18200	242	167
18400	250	170
18600	250	120
18800	247	132
19000	325	144
19200	404	168
19400	412	216
19600	431	201
19800	429	268
20000	422	255
20200	416	189
20400	395	155
20600	416	352
20800	88	172
21000	113	202
21200	121	398
21400	111	412
21600	130	389
21800	134	399
22000	31	403
22200	329	538
22400	386	573
22600	413	696
22800	423	857
23000	433	970
23200	437	971
23400	134	212
23600	110	188
23800	49	152
24000	22	161
24200	31	170
