t	x	y
0	106	333
200	138	338
400	131	126
600	62	119
800	4	129
1000	8	105
1200	41	48
1400	18	5
1600	78	0
1800	103	54
2000	91	41
2200	404	24
2400	442	29
2600	39	26
2800	18	8
3000	33	47
3200	9	101
3400	19	98
3600	262	131
3800	266	96
4000	237	72
4200	222	71
4400	223	116
4600	164	114
4800	227	74
5000	297	65
5200	363	146
5400	163	125
5600	61	100
5800	10	91
6000	58	102
6200	14	107
6400	9	90
6600	15	106
6800	153	119
7000	160	130
7200	142	167
7400	163	174
7600	139	152
7800	144	227
8000	138	347
8200	141	365
8400	156	489
8600	136	431
8800	147	373
9000	150	413
9200	148	356
9400	148	417
9600	147	346
9800	165	364
10000	146	434
10200	142	501
10400	143	570
10600	163	559
10800	145	546
11000	181	530
11200	144	511
11400	136	549
11600	114	543
11800	149	555
12000	166	557
12200	271	660
12400	314	122
12600	262	115
12800	187	99
13000	164	129
13200	128	108
13400	144	138
13600	149	111
13800	181	101
14000	159	114
14200	136	155
14400	19	151
14600	148	168
14800	168	199
15000	144	163
15200	140	145
15400	16	83
15600	25	14
15800	140	198
16200	14	188
16400	131	245
16600	140	244
16800	146	433
17000	147	346
17200	124	238
17400	17	199
17600	135	476
17800	126	443
18000	161	459
18200	145	402
18400	156	376
18600	172	398
18800	145	360
19000	142	311
19200	133	262
19400	137	689
19600	164	812
19800	167	950
20000	161	961
20200	119	959
20400	172	917
20600	141	831
20800	144	822
21000	135	799
21200	129	775
21400	149	796
21600	143	738
21800	138	751
22000	150	706
22200	154	630
22400	143	608
22600	138	520
22800	150	464
23000	141	430
23200	150	607
23400	147	540
23600	179	465
23800	164	208
24000	146	366
24200	141	350
24400	140	315
24600	130	242
24800	130	281
25000	145	282
25200	140	366
25400	140	361
25600	119	343
25800	31	362
26000	35	375
26600	259	89
26800	352	78
27000	285	71
27200	235	52
27400	55	32
27600	33	11
27800	308	39
28000	418	49
28200	173	555
28400	70	397
28600	17	412
28800	40	329
29000	30	355
