t	x	y
0	154	330
200	147	371
400	128	151
600	68	83
800	56	66
1000	128	61
1200	172	65
1400	261	77
1600	273	67
1800	328	72
2000	80	58
2200	63	63
2400	128	92
2600	58	90
2800	170	171
3000	156	131
3200	150	174
3400	154	108
3600	147	165
3800	149	291
4000	138	391
4200	136	472
4400	141	358
4600	135	546
4800	144	596
5000	139	681
5200	150	968
5400	160	916
5600	158	888
5800	150	980
6000	121	959
6200	134	789
6400	147	759
6600	144	712
6800	139	675
7000	137	626
7200	140	608
7400	136	636
7600	141	553
7800	142	520
8000	138	449
8200	151	409
8400	153	354
8600	153	133
8800	61	127
9000	61	117
9200	167	114
9400	67	112
9600	64	127
9800	61	131
