t	x	y
0	360	399
200	182	297
400	179	65
600	146	58
800	93	52
1000	173	106
1200	143	101
1400	76	81
1600	60	66
1800	81	71
2000	177	113
2200	167	128
2400	158	453
2600	124	685
2800	145	925
3000	406	847
3400	180	39
3600	163	31
3800	301	23
4000	350	37
4200	285	14
4400	102	13
4600	154	42
4800	157	90
5000	155	95
5200	139	80
5400	73	71
5600	89	82
5800	224	87
6000	167	61
6200	176	81
6400	226	98
6600	184	208
6800	177	164
7000	144	502
7200	140	776
7400	144	942
7600	136	775
7800	163	130
8000	170	72
8200	146	909
8400	79	112
8600	82	84
8800	170	59
9000	365	30
9200	104	54
