t	x	y
0	391	492
200	113	470
400	39	487
600	51	239
800	51	211
1000	60	117
1200	50	668
1400	48	696
1600	45	843
1800	41	782
2000	43	635
2200	45	537
2400	47	393
2600	45	356
2800	45	313
3000	44	266
3200	47	239
3400	47	202
3600	35	626
3800	43	602
4000	43	569
4200	139	554
4400	113	565
4600	170	563
4800	158	558
5000	319	556
5200	416	569
5400	403	562
5600	322	553
5800	334	552
6000	327	556
6200	336	521
6400	291	157
6600	265	132
6800	253	112
7000	314	111
7200	271	108
7400	94	122
7600	123	115
7800	320	113
8000	329	497
8200	329	547
8400	53	568
8600	340	556
8800	306	561
9000	311	558
9200	426	562
9400	219	554
9600	164	563
9800	162	562
10000	316	562
10200	331	199
10400	279	155
10600	252	120
10800	85	125
11000	52	131
11200	116	123
11400	355	111
11600	420	98
11800	349	499
12000	319	158
12200	278	133
12400	327	596
12600	323	546
12800	321	550
13000	314	561
13200	45	570
13400	333	551
13600	395	558
13800	360	585
14000	320	537
14200	326	559
14400	321	419
14600	325	266
14800	322	149
15000	269	131
15200	124	145
15400	278	150
15600	357	573
15800	324	558
16000	83	570
16200	301	555
16400	243	553
16600	47	566
16800	250	550
17000	37	557
17200	333	545
