t	x	y
0	181	270
200	54	336
400	52	360
600	43	289
800	37	158
1000	33	124
1200	35	161
1400	30	193
1600	30	245
1800	33	310
2000	41	272
2200	43	355
2400	43	550
2600	40	614
2800	49	577
3000	174	578
3200	164	575
3400	176	592
3600	122	575
3800	156	581
4000	310	572
4200	417	589
4400	347	576
4600	322	583
4800	157	579
5000	129	570
5200	155	589
5400	333	585
5600	135	568
5800	164	581
6000	368	567
6200	332	585
6400	201	84
6600	249	89
6800	236	118
7000	293	102
7200	233	76
7400	292	59
7600	229	83
7800	67	87
8000	91	89
8200	45	94
8400	56	58
8600	94	84
8800	47	76
9000	110	63
9200	215	636
9400	151	598
9600	104	109
9800	52	94
10000	108	114
10200	243	87
10400	109	91
10600	40	79
10800	233	87
11000	140	114
11200	243	76
11400	290	81
11600	181	675
11800	141	611
12000	173	620
12200	358	626
12400	336	637
12600	99	613
12800	38	609
13000	56	590
13200	75	644
13400	58	567
13600	269	592
13800	158	579
14000	295	585
14200	159	574
14400	151	292
14600	142	112
14800	155	152
15000	134	130
15200	179	504
15400	155	533
15600	44	516
15800	53	554
16000	42	582
16200	131	567
16400	162	584
16600	137	234
16800	144	128
17000	181	594
17200	156	580
17400	160	586
17600	313	574
17800	313	487
18000	307	590
18200	186	122
18400	262	114
18600	267	127
18800	314	630
19000	341	619
19200	324	600
19400	52	581
19600	311	594
19800	326	552
20000	299	228
20200	317	127
20400	314	134
20600	266	120
20800	290	91
21000	309	809
21200	311	685
