t	x	y
0	266	114
200	292	121
400	148	142
600	150	125
800	122	138
1000	144	437
1200	124	452
1400	158	465
1600	341	354
1800	325	123
2000	281	111
2200	299	142
2400	263	144
2600	349	201
2800	320	173
3000	340	109
3200	330	190
3400	345	219
3600	352	158
3800	357	129
4000	398	138
4200	366	190
4400	420	195
4600	422	216
4800	401	153
5000	388	104
5200	105	120
5400	23	130
5600	60	108
5800	116	76
6000	136	76
6200	98	71
6400	68	73
6600	432	213
6800	381	243
7000	413	217
7200	395	806
7400	358	502
7600	362	519
7800	386	497
8000	340	334
8200	321	352
8400	345	352
8600	359	350
8800	330	163
9000	350	126
9200	291	159
9400	223	121
9600	243	81
9800	284	85
10000	407	164
10200	410	181
10400	419	119
10600	170	144
10800	100	144
11000	82	138
11200	111	397
11400	112	565
11600	100	950
11800	118	964
12000	115	411
12200	101	214
12400	104	155
12600	112	322
12800	113	361
13000	100	130
13200	120	367
13400	118	412
13600	122	475
13800	115	447
14000	95	135
14200	96	113
14400	25	143
14600	78	133
14800	42	137
15000	114	129
15200	5	157
15400	50	135
15600	93	115
15800	238	113
16000	276	115
16200	295	126
16400	215	136
16600	242	136
16800	286	122
17000	307	132
17200	291	118
17400	399	165
17600	353	170
17800	344	585
18000	367	594
18200	389	957
18400	416	955
18600	427	995
18800	440	625
19000	413	724
19200	405	184
19400	399	275
19600	402	316
19800	414	138
20000	432	106
20200	393	409
20400	358	401
20600	339	426
20800	300	419
21000	371	226
21200	334	156
21400	341	459
21600	348	422
21800	29	173
22000	53	117
22200	124	117
22400	46	119
22600	116	78
22800	73	65
