t	x	y
0	247	288
200	278	105
400	232	80
600	212	73
800	228	56
1000	275	84
1200	214	83
1400	39	40
1600	16	19
1800	70	22
2000	51	53
2200	2	42
2400	40	53
2600	61	57
2800	56	58
3000	204	58
3200	202	61
3400	230	108
3600	247	117
4000	46	122
4200	80	104
4400	305	120
4600	103	115
4800	63	109
5000	57	170
5200	57	143
5400	38	389
5600	31	837
5800	34	965
6000	35	894
6200	33	926
6400	35	949
6600	36	971
6800	31	739
7000	39	630
7200	43	567
7400	45	528
7600	46	549
7800	156	555
8000	173	564
8200	120	571
8400	167	563
8600	331	568
8800	397	561
9000	422	567
9200	361	62
9400	421	297
9600	240	88
9800	410	519
10000	422	99
10200	408	110
10400	413	141
10600	418	100
10800	388	93
11000	308	85
11200	241	74
11400	387	560
11600	304	559
11800	289	561
12000	148	569
12200	110	571
12400	385	557
12600	35	554
12800	363	561
13000	384	552
13200	377	137
13400	349	108
13600	375	489
13800	375	580
14000	387	628
14200	395	553
14400	381	532
14600	364	123
14800	369	101
15000	256	96
15200	262	126
15400	393	105
15600	412	159
15800	376	592
16000	400	563
16200	326	561
16400	289	563
16600	396	560
16800	30	531
17000	15	141
17200	24	54
17400	77	66
17600	326	431
