t	x	y
0	18	572
200	156	414
400	134	125
600	59	100
800	53	142
1000	50	196
1200	66	244
1400	55	303
1600	56	343
1800	59	373
2000	59	436
2200	46	501
2400	55	555
2600	52	564
2800	163	565
3000	181	561
3200	131	564
3400	161	571
3600	201	196
3800	199	136
4000	215	102
4200	314	90
4400	417	73
4600	187	613
4800	135	626
5000	137	588
5200	60	560
5400	175	570
5600	333	550
5800	437	551
6000	454	550
6200	428	508
6400	433	61
6600	295	84
6800	97	54
7000	138	72
7200	437	526
7400	424	572
7600	442	551
7800	417	549
8000	441	504
8200	429	423
8400	426	180
8600	446	113
8800	447	66
9000	416	79
9200	447	83
9400	419	488
9600	416	566
9800	239	500
