t	x	y
0	184	287
200	136	287
400	113	320
600	19	317
800	15	358
1000	18	391
1200	25	205
1400	14	573
1600	19	524
1800	151	512
2000	104	514
2200	207	515
2400	396	496
2600	341	508
2800	320	510
3000	257	163
3200	319	159
3400	359	587
3600	363	561
3800	71	560
4000	16	562
4200	21	583
4400	26	546
4600	27	516
4800	302	493
5000	332	510
5200	417	511
5400	435	514
5600	356	499
5800	352	181
6000	367	550
6200	347	503
6400	442	512
6600	436	214
6800	417	171
7000	289	171
7200	109	151
7400	43	147
7600	308	176
7800	331	153
8000	257	139
8200	289	138
8400	268	143
8600	55	139
8800	34	129
9000	58	138
9200	98	139
9400	364	598
9600	366	531
9800	399	531
10000	384	543
10200	357	563
10400	330	590
10600	346	582
10800	348	200
11000	357	172
11200	335	656
11400	344	598
11600	377	579
11800	384	539
12000	376	580
12200	84	551
12400	21	555
12600	29	522
12800	347	491
13000	363	221
13200	353	163
13400	336	470
13600	355	490
13800	257	331
