t	x	y
0	47	67
200	124	241
400	372	313
600	368	310
800	338	423
1000	330	380
1200	352	138
1400	203	128
1600	29	160
1800	19	134
2000	73	143
2200	53	151
2400	133	179
2600	239	176
2800	57	160
3000	214	133
3200	227	149
3400	270	130
3600	207	133
4000	3	132
4200	73	124
4400	241	125
4600	214	135
4800	214	126
5000	213	132
5200	213	127
5400	287	126
6200	0	203
6400	224	113
6600	236	142
6800	214	119
7000	211	120
7200	264	127
7400	351	220
7600	334	382
7800	314	400
8000	317	395
8200	334	387
8400	317	172
8600	274	137
8800	336	363
9000	320	384
9200	343	432
9400	286	410
9600	292	145
9800	235	150
10000	280	144
10400	16	560
10600	59	550
10800	11	563
11000	61	559
11200	72	567
11400	78	587
11600	298	602
11800	299	595
12000	300	606
12200	305	601
12400	281	571
12600	313	569
12800	11	555
13400	292	572
13600	407	578
13800	408	579
14000	310	564
14200	285	573
14400	319	580
14600	308	353
14800	282	175
15000	321	543
15200	290	561
15400	281	573
15600	115	566
15800	13	575
16000	236	145
16200	270	153
16400	230	127
16600	214	139
16800	307	581
17000	1	568
17200	125	555
17400	296	576
17600	303	176
17800	4	567
18000	205	578
18200	308	568
18400	288	170
18600	286	170
