t	x	y
0	213	288
200	184	319
400	86	212
600	59	222
800	65	138
1000	59	513
1200	74	481
1400	65	394
1600	68	289
1800	72	413
2000	70	407
2200	57	637
2400	54	659
2600	56	780
2800	60	879
3000	60	857
3200	70	947
3400	71	879
3600	60	749
3800	343	574
4000	454	555
4200	440	470
4400	461	46
4600	473	73
4800	429	76
5000	450	509
5200	445	548
5400	364	548
5600	339	548
5800	403	80
6000	325	81
6200	350	54
6400	287	51
6600	287	49
6800	212	111
7000	305	43
7200	356	55
7400	318	34
7600	287	29
7800	350	63
8000	464	210
8200	472	91
8400	188	63
8600	127	56
8800	143	73
9000	139	68
9200	444	208
9400	318	74
9600	344	68
9800	352	72
10000	310	47
10200	281	42
10400	310	39
10600	114	49
10800	77	42
11000	151	69
11200	285	65
11400	371	466
11600	411	462
11800	403	156
12000	340	56
12200	309	43
12400	344	66
12600	379	454
12800	66	513
13000	63	588
13200	113	593
13400	172	575
13600	333	586
13800	362	543
14000	368	296
14200	361	108
14400	370	100
14600	382	536
14800	355	530
15000	339	572
15200	344	113
15400	366	97
15600	410	554
15800	447	562
16000	431	568
16200	440	359
16400	465	129
16600	469	92
16800	474	93
17000	429	100
17200	445	534
17400	405	530
17600	370	531
17800	363	533
18000	56	558
18200	345	588
18400	444	575
18600	432	549
18800	440	83
19000	351	561
19200	328	562
19400	309	88
